word,reason,index
吸收,無用例,1
焚化爐,無用例,2
掌聲,無用例,3
玩具、小東西,無用例,7
蓋上蓋子,無用例,9
香水,無用例,10
塞車,無用例,15
做工用的工具、道具,無用例,16
駕照,無用例,18
銅管仔,無用例,19
答案,無用例,21
版本,無用例,23
路線,無用例,25
完整,無用例,26
油煙,無用例,28
地圖,無用例,30
瓶子,無用例,31
設定,無用例,33
針對,無用例,36
相硞,無用例,39
採取,無用例,40
超速,無用例,41
年齡,無用例,43
主題,無用例,44
分析,無用例,45
罐子,無用例,47
民國,無用例,48
尺寸,無用例,49
溫度,無用例,50
秘密,無用例,52
開關,無用例,54
互相碰撞,無用例,56
空的鐵製罐頭罐子,無用例,58
陷阱,無用例,60
創作,無用例,61
海報,無用例,64
祕密,無用例,65
廢紙、寫過字的紙、 文書、契約、證明文件、權狀、謄本,無用例,68
人口,無用例,71
紅綠燈,無用例,73
自來水,無用例,75
眼淚,無用例,76
腮紅,無用例,77
吐口水,無用例,78
金屬,無用例,80
