單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
中國,伊去中國探親。,I khì Tiong-kok thàm-tshin.。,他去中國拜訪親戚。,探親,完整,2025-08-27 14:28:47,教育部臺灣台語常用詞辭典
亞洲,夯石碾是咱參加亞洲運動會捷著等的項目。,Giâ-tsio̍h-lián sī lán tsham-ka A-tsiu Ūn-tōng-huē tsia̍p tio̍h-tíng ê hāng-bo̍k.。,舉重是我們參加亞洲運動會常得獎的項目。,夯石碾,完整,2025-08-27 14:30:15,教育部臺灣台語常用詞辭典
北投,伊去臺北投靠𪜶阿姊。,I khì Tâi-pak tâu-khò in a-tsí.。,他去臺北投靠他姊姊生活。,投靠,完整,2025-08-27 14:28:45,教育部臺灣台語常用詞辭典
南投,你過年敢有欲倒轉去南投？,Lí kuè-nî kám ū beh tò-tńg-khì Lâm-tâu,你過年要不要回去南投？,倒轉去,完整,2025-08-27 14:31:12,教育部臺灣台語常用詞辭典
南港,你若欲去南港就愛佇臺北車頭盤車。,Lí nā beh khì Lâm-káng tō ài tī Tâi-pak Tshia-thâu puânn-tshia.。,你如果要去南港就必須在臺北車站轉車。,盤車,完整,2025-08-27 14:29:04,教育部臺灣台語常用詞辭典
嘉義,臺北人講烏白切，嘉義人講滷熟肉。,"Tâi-pak-lâng kóng oo-pe̍h-tshiat, Ka-gī-lâng kóng lóo-sio̍k-bah.。",臺北人說黑白切，嘉義人說滷熟肉。,烏白切,完整,2025-08-27 14:29:21,教育部臺灣台語常用詞辭典
地區,偏僻地區的學校學生少，教職員嘛少，學校內面一个人著兼幾若个工課，就會像人所講的「校長兼摃鐘」。,"Phian-phiah tē-khu ê ha̍k-hāu ha̍k-sing tsió, kàu-tsit-uân mā tsió, ha̍k-hāu lāi-bīn tsi̍t ê lâng tio̍h kiam kuí-nā ê khang-khuè, tō ē tshiūnn lâng sóo kóng--ê “hāu-tiúnn kiam kòng tsing”.。",偏僻地區的學校學生少，教職員也少，學校裡一個人要兼好幾項工作，就會像人們所說的「校長兼撞鐘」。,校長兼摃鐘。,完整,2025-08-27 14:31:23,教育部臺灣台語常用詞辭典
地名,這个地名按怎來的，已經無才調稽考矣。,"Tsit ê tē-miâ án-tsuánn lâi--ê, í-king bô tsâi-tiāu khe-khó--ah.。",這個地名怎麼來的，已經不可考了。,稽考,完整,2025-08-27 14:28:50,教育部臺灣台語常用詞辭典
地方,地方的頭人攏真認真咧做代誌。,Tē-hng ê thâu-lâng lóng tsin jīn-tsin teh tsò tāi-tsì.。,地方上的領導人都很認真在做事情。,地方,完整,2025-08-27 14:29:46,教育部臺灣台語常用詞辭典
地球,今地球頂懸昆蟲的種類通講是百百種，咱攏捌袂了呢。,"Tann tē-kiû tíng-kuân khun-thiông ê tsióng-luī thang kóng sī pah-pah-tsióng, lán lóng bat bē liáu--neh.。",現今地球上昆蟲的種類可以說是百百種，我們都認識不完呢。,昆蟲,完整,2025-08-27 14:30:55,教育部臺灣台語常用詞辭典
城市,城市愈來愈楦大，市郊嘛愈來愈鬧熱。,"Siânn-tshī jú lâi jú hùn-tuā, tshī-kau mā jú lâi jú lāu-jia̍t.。",城市愈來愈向外擴張，市郊也愈來愈熱鬧。,郊,完整,2025-08-27 14:30:23,教育部臺灣台語常用詞辭典
基隆,佇基隆有一間服侍老大公的廟。,Tī Ke-lâng ū tsi̍t king ho̍k-sāi lāu-tuā-kong ê biō.。,在基隆有一間祭拜孤魂野鬼的廟。,老大公,完整,2025-08-27 14:30:18,教育部臺灣台語常用詞辭典
士林,士林夜市仔敢若阮兜的灶跤咧！,Sū-lîm iā-tshī-á kánn-ná guán tau ê tsàu-kha--leh!。,士林夜市好像我家廚房一樣！比喻常去士林夜市。,灶跤,完整,2025-08-27 14:30:46,教育部臺灣台語常用詞辭典
宜蘭,去宜蘭看本地歌仔，若看著三花搬閹雞行上趣味。,"Khì Gî-lân khuànn pún-tē-kua-á, nā khuànn-tio̍h sann-hue puann iam-ke-kiânn siōng tshù-bī.。",去宜蘭看本地歌仔，如果看到丑角表演矮子功最有趣。,閹雞行,完整,2025-08-27 14:28:38,教育部臺灣台語常用詞辭典
屏東,阮屏東的烏甕串通講是「頂港有名聲，下港上出名」，食過的人攏呵咾甲會觸舌。,"Guán Pîn-tong ê oo-àng-tshǹg thang kóng sī “tíng-káng ū miâ-siann, ē-káng siōng tshut-miâ”, tsia̍h--kuè ê lâng lóng o-ló kah ē tak-tsi̍h.。",我們屏東的黑鮪魚可說是「由北至南，遠近馳名」，吃過的人都讚不絕口。,頂港有名聲，下港上出名。,完整,2025-08-27 14:29:18,教育部臺灣台語常用詞辭典
市區,較早舊市區毋但「三跤步一坎店」，踅街的人嘛插插插，毋過這馬已經變甲真稀微矣。,"Khah-tsá kū tshī-khu m̄-nā “sann kha-pōo tsi̍t khám tiàm”, se̍h-ke ê lâng mā tshah-tshah-tshah, m̄-koh tsit-má í-king piàn kah tsin hi-bî--ah.。",以前舊市區不只「市景繁榮、商店林立」，逛街的人也摩肩接踵，不過現在已經變得很冷清了。,三跤步一坎店。,完整,2025-08-27 14:29:35,教育部臺灣台語常用詞辭典
庄跤,最近我搬來庄跤蹛，若有好食物，我就捾去送厝邊。𪜶嘛定定送𪜶家己種的青菜、果子來予我。人講「千金買厝，萬金買厝邊」，咱著佮厝邊頭尾好好仔交陪！,"Tsuè-kīn guá puann-lâi tsng-kha tuà, nā ū hó-tsia̍h mi̍h, guá tō kuānn-khì sàng tshù-pinn. In mā tiānn-tiānn sàng in ka-kī tsìng ê tshenn-tshài, kué-tsí lâi hōo--guá. Lâng kóng “tshian-kim bé tshù, bān kim bé tshù-pinn”, lán tio̍h kah tshù-pinn-thâu-bué hó-hó-á kau-puê!。他們也常常送他們自己種的蔬菜、水果給我。人家說：「千金買屋，萬金買鄰」，我們得跟鄰居好好交往！",最近我搬到鄉下住，若有好吃的食物，我就拿去送給隔壁鄰居。他們也常常送他們自己種的蔬菜、水果給我。人家說：「千金買屋，萬金買鄰」，我們得跟鄰居好好交往！,千金買厝，萬金買厝邊。,完整,2025-08-27 14:30:49,教育部臺灣台語常用詞辭典
庄頭,伊正港是一个歹星，拄搬來，這个庄頭就做大水。,"I tsiànn-káng sī tsi̍t ê pháinn-tshenn, tú puann--lâi, tsit ê tsng-thâu tō tsò-tuā-tsuí.。",他真是個掃把星，剛搬來，這個村莊就發生水災。,歹星,完整,2025-08-27 14:29:32,教育部臺灣台語常用詞辭典
德國,伊自修學德國話學甲足老。,I tsū-siu o̍h Tik-kok-uē o̍h kah tsiok láu.。,他自修學德語學得很流利。,自修,完整,2025-08-27 14:30:01,教育部臺灣台語常用詞辭典
新北市,這馬佇新北市土城區的大墓公聽講佮早前的林爽文事件、漳泉拚攏有關係。,"Tsit-má tī Sin-pak-tshī Thôo-siânn-khu ê tuā-bōng-kong thiann-kóng kah tsá-tsîng ê Lîm Sóng-bûn sū-kiānn, Tsiang-Tsuân-piànn lóng ū kuan-hē.。",現在在新北市土城區的大墓公聽說與之前的林爽文事件、漳泉械鬥都有關係。,大墓公,完整,2025-08-27 14:29:15,教育部臺灣台語常用詞辭典
新竹,新竹米粉佮柿餅是用九降風共水分吹予焦，氣味較好閣加真有囥。,"Sin-tik bí-hún kah khī-piánn sī iōng káu-kàng-hong kā tsuí-hun tshue hōo ta, khì-bī khah hó koh ke tsin ū khǹg.。",新竹米粉和柿餅是用東北季風把水分吹乾，味道較好還能保存比較久。,九降風,完整,2025-08-27 14:28:36,教育部臺灣台語常用詞辭典
日本,金木伯的孤囝去日本留學，閣提著博士學位，這款的子弟真正是「一斗較贏九石」，通庄的人攏呵咾甲會觸舌！,"Kim-bo̍k peh ê koo-kiánn khì Ji̍t-pún liû-ha̍k, koh the̍h-tio̍h phok-sū ha̍k-uī, tsit khuán ê tsú-tē tsin-tsiànn sī “tsi̍t táu khah iânn káu tsio̍h”, thong tsng ê lâng lóng o-ló kah ē tak-tsi̍h!。",金木伯的獨子去日本留學，又拿到博士學位，這樣的子弟真正是「少量的精品，勝過大量的劣質品」，整個村里的人都讚不絕口！,一斗較贏九石。,完整,2025-08-27 14:31:15,教育部臺灣台語常用詞辭典
歐洲,這位作者寫的這篇小說的款勢，若像咧學歐洲寫實主義的風格。,"Tsit uī tsok-tsiá siá ê tsit phinn siáu-suat ê khuán-sè, ná-tshiūnn teh o̍h Au-tsiu Siá-si̍t tsú-gī ê hong-keh.。",這位作者寫的這篇小說的體裁，好像是在學習歐洲寫實主義的風格。,款勢,完整,2025-08-27 14:30:37,教育部臺灣台語常用詞辭典
澎湖,阮規班拍算欲去旅行，有人欲去臺東，有人欲去澎湖，眾人「十喙九尻川」，無法度定著，尾後規氣抽鬮來決定。,"Guán kui pan phah-sǹg beh khì lí-hîng, ū lâng beh khì Tâi-tang, ū lâng beh khì Phênn-ôo, tsìng-lâng “tsa̍p tshuì káu kha-tshng”, bô-huat-tōo tiānn-tio̍h, bué-āu kui-khì thiu-khau lâi kuat-tīng.。",班上計畫舉辦旅行，有些人要去臺東，有些人要去澎湖，大家是「一人一個意見」，無法定案，後來乾脆抽籤決定。,十喙九尻川。,完整,2025-08-27 14:30:21,教育部臺灣台語常用詞辭典
社區,阿珍看厝看半年外才買著一間伊佮意的厝，伊講：「買厝，買厝邊。」除了考慮價數，閣較要緊的是愛揣著有好厝邊的社區。,"A-tin khuànn tshù khuànn puànn nî guā tsiah bé-tio̍h tsi̍t king i kah-ì ê tshù, i kóng, “Bé tshù, bé tshù-pinn.” Tû-liáu khó-lī kè-siàu, koh-khah iàu-kín--ê sī ài tshuē-tio̍h ū hó tshù-pinn ê siā-khu.。」除了考慮價錢，更加重要的是要找到有好鄰居的社區。",小珍看房子看了半年多才買到一間他喜歡的房子，他說：「買房子要慎選好鄰居。」除了考慮價錢，更加重要的是要找到有好鄰居的社區。,買厝，買厝邊。,完整,2025-08-27 14:29:55,教育部臺灣台語常用詞辭典
美國,伊自細漢讀冊就受著親情幫贊，想袂到佇美國畢業了後，連親情過身嘛毋轉來，人講「船過水無痕」，伊實在真無惜情。,"I tsū sè-hàn tha̍k-tsheh tō siū-tio̍h tshin-tsiânn pang-tsān, siūnn-bē-kàu tī Bí-kok pit-gia̍p liáu-āu, liân tshin-tsiânn kuè-sin mā m̄ tńg--lâi, lâng kóng “tsûn kuè tsuí bô hûn”, i si̍t-tsāi tsin bô sioh-tsîng.。",他從小讀書就受到親戚的贊助，想不到在美國畢業之後，就連親戚過世也不肯回來，人家說「船過水無痕」，他真是很不珍惜親情。,船過水無痕。,完整,2025-08-27 14:28:24,教育部臺灣台語常用詞辭典
臺中,佇遠遠的所在，就看會著臺中火力發電廠彼四支煙筒管矣。,"Tī hn̄g-hn̄g ê sóo-tsāi, tō khuànn ē tio̍h Tâi-tiong hué-li̍k huat-tiān-tshiúnn hit sì ki ian-tâng-kóng--ah.。",在遠遠的地方，就看得到臺中火力發電廠那四根煙囪了。,煙筒管,完整,2025-08-27 14:31:00,教育部臺灣台語常用詞辭典
臺北,伊自少年就對下港起去臺北做生理，佇遐娶某生囝，到今五十外冬矣，毋過「離鄉，無離腔」，講話的時猶原有下港腔。,"I tsū siàu-liân tō tuì ē-káng khí-khì Tâi-pak tsò-sing-lí, tī hia tshuā-bóo senn-kiánn, kàu-tann gōo-tsa̍p-guā tang--ah, m̄-koh “lī hiunn, bô lī khiunn”, kóng-uē ê sî iu-guân ū ē-káng khiunn.。",他年輕時就從南部上去臺北做生意，在那裡娶妻生子，至今五十多年了，不過「離鄉，不離腔」，說話時仍然有南部腔。,離鄉，無離腔。,完整,2025-08-27 14:28:33,教育部臺灣台語常用詞辭典
臺南,臺南地區欲考試的囡仔會買狀元粿來食，希望會當考牢理想的學校。,"Tâi-lâm tē-khu beh khó-tshì ê gín-á ē bé tsiōng-guân-kué lâi tsia̍h, hi-bāng ē-tàng khó-tiâu lí-sióng ê ha̍k-hāu.。",臺南地區要考試的孩子會買狀元糕來吃，希望可以考上理想的學校。,狀元粿,完整,2025-08-27 14:30:43,教育部臺灣台語常用詞辭典
臺東,阮規班拍算欲去旅行，有人欲去臺東，有人欲去澎湖，眾人「十喙九尻川」，無法度定著，尾後規氣抽鬮來決定。,"Guán kui pan phah-sǹg beh khì lí-hîng, ū lâng beh khì Tâi-tang, ū lâng beh khì Phênn-ôo, tsìng-lâng “tsa̍p tshuì káu kha-tshng”, bô-huat-tōo tiānn-tio̍h, bué-āu kui-khì thiu-khau lâi kuat-tīng.。",班上計畫舉辦旅行，有些人要去臺東，有些人要去澎湖，大家是「一人一個意見」，無法定案，後來乾脆抽籤決定。,十喙九尻川。,完整,2025-08-27 14:28:16,教育部臺灣台語常用詞辭典
花蓮,花蓮當地的風景袂䆀，咱另工做伙來去𨑨迌。,"Hua-liân tong-tē ê hong-kíng bē-bái, lán līng-kang tsò-hué lâi-khì tshit-thô.。",花蓮當地的風景不錯，我們改天一起去玩。,當地,完整,2025-08-27 14:31:35,教育部臺灣台語常用詞辭典
苗栗,阿娥後禮拜欲嫁去苗栗矣！,A-ngôo āu lé-pài beh kè-khì Biâu-li̍k--ah,阿娥下禮拜要嫁到苗栗去了！,嫁白kè,完整,2025-08-27 14:30:09,教育部臺灣台語常用詞辭典
越南,伊的工廠設佇越南。,I ê kang-tshiúnn siat tī Ua̍t-lâm.。,他的工廠設在越南。,設,完整,2025-08-27 14:30:12,教育部臺灣台語常用詞辭典
郊外,歇睏日伊常在𤆬一家伙仔去郊外𨑨迌。,Hioh-khùn-ji̍t i tshiâng-tsāi tshuā tsi̍t-ke-hué-á khì kau-guā tshit-thô.。,假日他經常帶領全家人去郊外遊玩。,郊,完整,2025-08-27 14:31:03,教育部臺灣台語常用詞辭典
都市,分家伙的時陣抽著無水田，伊也認命接受，啥人知影後來都市計畫路開到遐，伊的田變更做建地，有影是像人講的：「青盲貓咬著死鳥鼠。」,"Pun ke-hué ê sî-tsūn thiu-tio̍h bô-tsuí-tshân, i iā jīn-miā tsiap-siū, siánn-lâng tsai-iánn āu--lâi too-tshī kè-uē lōo khui kàu hia, i ê tshân piàn-king tsò kiàn-tē, ū-iánn sī tshiūnn lâng kóng--ê, “Tshenn-mê niau kā-tio̍h sí niáu-tshí.”。」",分財產時抽到旱田，他也認命接受，誰知道後來都市計畫路開到那裡，他的田地變更成建地，真是像人家說的：「瞎貓碰到死老鼠。」,青盲貓咬著死鳥鼠。,完整,2025-08-27 14:30:57,教育部臺灣台語常用詞辭典
非洲,非洲真濟國家因為飢荒，百姓枵飢失頓，真濟囡仔攏「腹肚若水櫃，胸坎若樓梯」，予人真毋甘。,"Hui-tsiu tsin tsē kok-ka in-uī ki-hng, peh-sènn iau-ki-sit-tǹg, tsin tsē gín-á lóng “pak-tóo ná tsuí-kuī, hing-khám ná lâu-thui”, hōo lâng tsin m̄-kam.。",非洲很多國家因為飢荒，人民三餐不繼，很多兒童都「骨瘦如柴，卻又挺個大肚子」，讓人很不捨。,腹肚若水櫃，胸坎若樓梯。,完整,2025-08-27 14:28:41,教育部臺灣台語常用詞辭典
韓國,佇韓國娘仔豆是好食物，佇臺灣無幾个人敢食。,"Tī Hân-kok niû-á-tāu sī hó-tsia̍h mi̍h, tī Tâi-uân bô kuí ê lâng kánn tsia̍h.。",在韓國蠶蛹是美食，在臺灣人沒幾個人敢吃。,娘仔豆,完整,2025-08-27 14:28:27,教育部臺灣台語常用詞辭典
高雄,伊月尾欲去高雄看𪜶後生。,I gue̍h-bué beh khì Ko-hiông khuànn in hāu-senn.。,他月底要去高雄看他兒子。,月尾,完整,2025-08-27 14:30:40,教育部臺灣台語常用詞辭典
艋舺,一府、二鹿、三艋舺。,,「府」指今臺南市、「鹿」指今彰化縣鹿港鎮、「艋舺」指今臺北市萬華區。一、二、三則為三個地區早期的開發順序。,府,良好,2025-08-27 14:29:41,教育部臺灣台語常用詞辭典
