單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
七娘媽,阮後生今年予七娘媽做契囝，順紲共貫捾乞轉來通予伊保平安。,"Guán hāu-senn kin-nî hōo Tshit-niû-má tsò khè-kiánn, sūn-suà kā kǹg-kuānn khit tńg-lâi thang hōo i pó pîng-an.。",我兒子今年給註生娘娘當乾兒子，順道把護身符請求回來保佑他平安。,貫捾,完整,2025-08-27 15:05:56,教育部臺灣台語常用詞辭典
佛祖,咱人四月初八是佛祖生，濟濟廟寺攏會舉辦浴佛法會。,"Lán-lâng sì-gue̍h tshe-peh sī Pu̍t-tsóo-senn, tsē-tsē biō-sī lóng ē kí-pān io̍k-pu̍t huat-huē.。",農曆四月初八是浴佛節，許多寺廟都會舉辦浴佛法會。,佛祖生,完整,2025-08-27 15:03:49,教育部臺灣台語常用詞辭典
保庇,人講：「有燒香有保庇，有食藥有行氣。」你若綿爛學習，定著會當學著閣較濟智識。,"Lâng kóng, “Ū sio-hiunn ū pó-pì, ū tsia̍h io̍h ū kiânn-khì.” Lí nā mî-nuā ha̍k-si̍p, tiānn-tio̍h ē-tàng o̍h-tio̍h koh-khah tsē tì-sik.。」只要你認真學習，一定可以學到更多的知識。",人們說：「一分耕耘，一分收穫。」只要你認真學習，一定可以學到更多的知識。,有燒香有保庇，有食藥有行氣。,完整,2025-08-27 15:05:53,教育部臺灣台語常用詞辭典
做醮,宮廟做醮乞龜保平安的時，阿爸跋上濟桮，乞著彼隻上大隻的米龜。,"King-biō tsò-tsiò khit-ku pó-pîng-an ê sî, a-pah pua̍h siōng tsē pue, khit-tio̍h hit tsiah siōng tuā tsiah ê bí-ku.。",廟宇建醮乞龜保平安的時候，爸爸擲最多聖筊，求得那隻最大的米龜。,乞龜,完整,2025-08-27 15:05:25,教育部臺灣台語常用詞辭典
傳統,傳統嫁娶愛點燈結綵，親情朋友來祝賀，規廳堂鬧猜猜。,"Thuân-thóng kè-tshuā ài tiám ting kat-tshái, tshin-tsiânn pîng-iú lâi tsiok-hō, kui thiann-tn̂g nāu-tshai-tshai.。",傳統婚嫁得要張燈結綵，親朋好友來祝賀，整個廳堂熱鬧哄哄。,鬧猜猜,完整,2025-08-27 15:04:54,教育部臺灣台語常用詞辭典
公媽,人講，「一人一家代，公媽隨人祀。」你哪著去管別人的代誌咧？,"Lâng kóng, “Tsi̍t lâng tsi̍t ke tāi, kong-má suî-lâng tshāi.” Lí ná-tio̍h khì kuán pa̍t-lâng ê tāi-tsì--leh?。」你何必去管別人的事呢？",人家說：「一人一家事，祖先牌位各人祭祀。」你何必去管別人的事呢？,一人一家代，公媽隨人祀。,完整,2025-08-27 15:05:39,教育部臺灣台語常用詞辭典
司公,普渡的時，司公道士唸的咒語無幾个人捌，民間定定供體𪜶是「毛呼龜粿粽，紅包在你送」。,"Phóo-tōo ê sî, sai-kong tō-sū liām ê tsiù-gí bô kuí ê lâng bat, bîn-kan tiānn-tiānn king-thé in sī “môo-honn ku kué tsàng, âng-pau tsāi lí sàng”.。",普渡的時候，道士們唸的咒語沒有幾個人知道，民間常常嘲諷他們是「看著祭品隨口亂誦經，心中只有紅包」。,毛呼龜粿粽，紅包在你送。,完整,2025-08-27 15:03:32,教育部臺灣台語常用詞辭典
和尚,現此時國內外的經濟誠䆀，股市一直落，若欲向股票閣起價，袂輸是「和尚頭掠蝨母」，誠僫咧。,"Hiān-tshú-sî kok-lāi-guā ê king-tsè tsiânn bái, kóo-tshī it-ti̍t lo̍h, nā beh ǹg kóo-phiò koh khí-kè, bē-su sī “huê-siūnn thâu lia̍h sat-bó”, tsiânn oh--leh.。",現在國內外的經濟不好，股市跌個不停，若要期盼股票再漲起來，就如同「在和尚的頭上抓蝨子一樣」，很困難呢。,和尚頭掠蝨母。,完整,2025-08-27 15:03:44,教育部臺灣台語常用詞辭典
土地公,咱這个單位的主管上愛人扶挺，你拄來遮上好佮伊小盤撋一下，人咧講：「得失土地公，飼無雞。」若無，伊袂予你遐好食睏。,"Lán tsit ê tan-uī ê tsú-kuán siōng ài lâng phôo-thánn, lí tú lâi tsia siōng-hó kah i sió puânn-nuá--tsi̍t-ē, lâng teh kóng, “Tik-sit Thóo-tī-kong, tshī bô ke.” Nā-bô, i bē hōo lí hiah hó-tsia̍h-khùn.。」要不然，他不會讓你有好日子過。",我們這個單位的主管很喜歡他人奉承，你剛到這裡最好稍微去交際招呼一下，俗語說：「得罪上司，恐將吃不完兜著走。」要不然，他不會讓你有好日子過。,得失土地公，飼無雞。,完整,2025-08-27 15:04:35,教育部臺灣台語常用詞辭典
城隍爺,七爺八爺攏會綴城隍爺出巡。,Tshit-iâ Peh-iâ lóng ē tuè Sîng-hông-iâ tshut-sûn.。,七爺八爺都會跟著城隍爺出巡。,七爺八爺,完整,2025-08-27 15:05:59,教育部臺灣台語常用詞辭典
