word,reason,index
食飯桌,無用例,1
椅墊,無用例,3
垃圾桶,無用例,5
馬桶,無用例,6
電燈泡,無用例,7
水龍頭,無用例,8
鍋仔,無用例,9
廚餘桶,無用例,10
手電筒,無用例,11
熨斗,無用例,12
毛巾,無用例,14
沙發,無用例,17
洗衣機,無用例,18
凳子,無用例,19
盤子,無用例,21
拖把,無用例,22
菜瓜布,無用例,23
碟仔,無用例,27
床單,無用例,28
飯菜蓋網,無用例,29
椅子,無用例,30
桌罩,無用例,31
茶壺,無用例,32
蚊帳,無用例,35
衣櫥,無用例,36
掃把,無用例,39
夾子,無用例,40
碗箸,無用例,41
塑膠袋仔,無用例,43
床巾,無用例,44
夾仔,無用例,46
電燈,無用例,48
切割肉類的砧板,無用例,51
電火球仔,無用例,53
吸管,無用例,55
梳妝台,無用例,56
竹掃把,無用例,57
躺椅,無用例,58
鍋鏟,無用例,59
蒸籠,無用例,60
桌子,無用例,61
抹布,無用例,65
鑷子,無用例,66
欶管,無用例,72
長板凳,無用例,78
糞埽桶,無用例,79
飯鍋,無用例,80
書桌,無用例,82
鎖匙,無用例,86
潘桶,無用例,90
塑膠袋,無用例,92
叉子,無用例,93
鑰匙,無用例,94
杯子,無用例,96
鍋子,無用例,98
椅苴仔,無用例,99
碗筷,無用例,100
電風扇,無用例,102
肥皂,無用例,104
䖙椅,無用例,106
比一般飯碗還要大的碗,無用例,107
抽屜,無用例,109
小盤子,無用例,110
攕仔,無用例,112
飯勺,無用例,114
煎匙,無用例,115
被單,無用例,116
