單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
冊桌仔,阮阿母買一塊新的冊桌仔，欲予我看冊佮寫宿題較利便。,"Guán a-bú bé tsi̍t tè sin ê tsheh-toh-á, beh hōo guá khuànn tsheh kah siá siok-tê khah lī-piān.。",我媽媽買了一張新的書桌，方便我看書跟寫功課。,冊桌仔,完整,2025-08-27 16:03:53,教育部臺灣台語常用詞辭典
冰箱,阿媽共燃好的青草仔茶，用漏仔貯入去玻璃矸仔，冰佇冰箱予逐家啉。,"A-má kā hiânn-hó ê tshenn-tsháu-á-tê, iōng lāu-á té ji̍p-khì po-lê kan-á, ping tī ping-siunn hōo ta̍k-ke lim.。",奶奶把煮好的青草茶，用漏斗裝進玻璃瓶中，冰在冰箱給大家喝。,漏仔,完整,2025-08-27 16:07:13,教育部臺灣台語常用詞辭典
冷氣,這陣時勢無仝矣，古早彼種「千途萬途，毋值得翻田塗」的觀念早就退時去矣，少年人攏嘛欲揣坐佇辦公室吹冷氣的頭路，今是有幾个甘願攑鋤頭落田去作穡咧！,"Tsit-tsūn sî-sè bô kāng--ah, kóo-tsá hit tsióng “tshian tôo bān tôo, m̄ ta̍t-tit huan tshân-thôo” ê kuan-liām tsá tō thè-sî--khì--ah, siàu-liân-lâng lóng mā beh tshuē tsē tī pān-kong-sik tshue líng-khì ê thâu-lōo, tann sī ū kuí ê kam-guān gia̍h tî-thâu lo̍h-tshân khì tsoh-sit--leh!。",現今時代不同了，以前那套「重農輕商」的觀念早已過時了，年輕人都想找坐在辦公室吹冷氣的工作，現在有幾個願意拿著鋤頭下田耕種啊！,千途萬途，毋值得翻田塗。,完整,2025-08-27 16:07:07,教育部臺灣台語常用詞辭典
吹風機,吹風機無插插頭袂過電，當然嘛袂紡。,"Tshue-hong-ki bô tshah tshah-thâu bē kuè-tiān, tong-jiân mā bē pháng.。",吹風機沒插插頭不會通電，當然就不會運轉。,過電,完整,2025-08-27 16:04:24,教育部臺灣台語常用詞辭典
家具,𪜶兜的家具較古。,In tau ê ka-kū khah kóo.。,他們家的家具古色古香。,古,完整,2025-08-27 16:06:47,教育部臺灣台語常用詞辭典
屜仔,伊下早仔去予屜仔挾著尾二指，這馬閣猶腫腫。,"I e-tsái-á khì hōo thuah-á gia̍p-tio̍h bué-jī-tsáinn, tsit-má koh iáu tsíng-tsíng.。",他今天早上被抽屜夾到無名指，現在還腫腫的。,尾二指,完整,2025-08-27 16:06:06,教育部臺灣台語常用詞辭典
布攄仔,布攄仔都烏汁汁矣，你閣提來攄塗跤。,"Pòo-lu-á to oo-tsiap-tsiap--ah, lí koh the̍h-lâi lu thôo-kha.。",拖把都已經又黑又髒了，你還拿來拖地。,烏汁汁,完整,2025-08-27 16:06:36,教育部臺灣台語常用詞辭典
手電仔,明仔暗會停電，你敢有攢手電仔？,"Bîn-á-àm ē thîng-tiān, lí kám ū tshuân tshiú-tiān-á",明天晚上會停電，你準備手電筒了嗎？,手電仔,完整,2025-08-27 16:03:51,教育部臺灣台語常用詞辭典
掃帚,伊隨來遮就火燒厝，真正是掃帚星。,"I suî lâi tsia tō hué-sio-tshù, tsin-tsiànn sī sàu-tshiú-tshenn.。",他一來這裡就發生火災，真是掃把星。,掃帚星,完整,2025-08-27 16:04:47,教育部臺灣台語常用詞辭典
掃梳,較早的人定定用掃梳笒仔捽囡仔。,Khah-tsá ê lâng tiānn-tiānn iōng sàu-se-gím-á sut gín-á.。,以前的人經常用細竹枝打小孩。,掃梳笒仔,完整,2025-08-27 16:04:13,教育部臺灣台語常用詞辭典
