word,reason,index
嬰兒,無用例,3
祖父的姊妹或同輩女性親友、過了適婚年齡而還沒有出嫁的女性，通常帶有負面意涵,無用例,4
稱祖母或外祖母的兄弟,無用例,5
妹妹,無用例,7
女性,無用例,10
女兒,無用例,12
阿嬸,無用例,17
自己,無用例,18
曾祖父母,無用例,21
伯母、伯父的妻子、尊稱母輩中年紀較大的女子,無用例,22
公公,無用例,26
伯祖母、稱呼父親的伯母,無用例,28
嬸嬸、叔叔的妻子,無用例,30
我們大家,無用例,32
爸爸,無用例,33
父母親的舅母,無用例,35
伯父、父親的哥哥、 尊稱父輩中年紀較大的男子,無用例,36
兒子,無用例,39
姊妹所生的兒子,無用例,42
女婿,無用例,44
父母,無用例,45
晚輩、後輩,無用例,46
姑母的丈夫,無用例,53
姆婆,無用例,55
娘子、妻子,無用例,58
父母親的嬸嬸,無用例,62
舅媽、舅舅的妻子,無用例,63
姨丈,無用例,67
哥哥,無用例,69
爺爺、祖父,無用例,70
大人、成年人,無用例,71
奶媽、奶娘,無用例,72
父親的伯父,無用例,73
姑姑、姑媽、爸爸的姊妹,無用例,76
客人,無用例,78
太太、老婆,無用例,81
姨媽、母親的姊妹、尊稱與母親同輩份的女性,無用例,82
親戚,無用例,83
母親姊妹的丈夫,無用例,87
男性,無用例,92
稱呼姑婆或姨婆的先生,無用例,93
叔叔、爸爸的弟弟,無用例,94
姨婆,無用例,95
弟弟,無用例,96
孫子輩對祖母的姊妹的稱呼,無用例,101
小孩、兒童,無用例,103
兒媳婦、媳婦,無用例,105
舅舅、舅父、對母親的兄弟的稱呼,無用例,107
因老爸,無用例,108
年輕人,無用例,109
奶奶、祖母,無用例,112
婆婆,無用例,113
姊姊,無用例,115
婦道人家、婦女,無用例,116
他爸爸,無用例,117
老年人,無用例,122
鄰居,無用例,123
父親的叔父,無用例,124
