單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
丈公,姑婆的翁我愛叫伊「丈公」。,Koo-pô ê ang guá ài kiò i “tiūnn-kong”.。,姑婆的先生我要叫他「姑公」。,丈公,完整,2025-08-27 14:56:07,教育部臺灣台語常用詞辭典
丈夫,人講：「驚某大丈夫，拍某豬狗牛。」你著愛好好仔疼惜恁牽手才著。,"Lâng kóng, “Kiann bóo tāi-tiōng-hu, phah bóo ti-káu-gû.” Lí tio̍h-ài hó-hó-á thiànn-sioh lín khan-tshiú tsiah tio̍h.。」你要好好疼惜你的老婆才對。",人家說：「怕老婆是大丈夫，打老婆是豬狗牛。」你要好好疼惜你的老婆才對。,驚某,完整,2025-08-27 14:58:38,教育部臺灣台語常用詞辭典
人客,阮牽手當咧無閒的時陣，我家婆講欲替伊煎一盤菜脯卵請人客，盍會知影「好好鱟刣甲屎那流」，煞煎甲臭火焦兼著火。,"Guán khan-tshiú tng-teh bô-îng ê sî-tsūn, guá ke-pô kóng beh thè i tsian tsi̍t puânn tshài-póo-nn̄g tshiánn lâng-kheh, khah ē tsai-iánn “hó-hó hāu thâi kah sái ná lâu”, suah tsian kah tshàu-hué-ta kiam to̍h-hué.。",內人正忙的時候，我多管閒事主動要替他煎一盤蘿蔔乾炒蛋給客人吃，哪裡知道「成事不足，敗事有餘」，竟然炒得焦黑不堪。,好好鱟刣甲屎那流。,完整,2025-08-27 14:53:59,教育部臺灣台語常用詞辭典
伯公,阿公的阿兄咱愛叫伊「伯公」。,A-kong ê a-hiann lán ài kiò i “peh-kong”.。,爺爺的哥哥我們要叫他「伯公」。,伯公,完整,2025-08-27 14:54:05,教育部臺灣台語常用詞辭典
厝邊,俗語講：「千金買厝，萬金買厝邊。」最近想欲買厝，看厝的時，攏嘛斟酌探聽厝邊是啥物款人，若有好厝邊，才敢買落來。,"Sio̍k-gí kóng, “Tshian-kim bé tshù, bān kim bé tshù-pinn.” Tsuè-kīn siūnn-beh bé tshù, khuànn tshù ê sî, lóng mā tsim-tsiok thàm-thiann tshù-pinn sī siánn-mih khuán lâng, nā ū hó tshù-pinn, tsiah kánn bé--lo̍h-lâi.。」最近想要買房子，看房子的時候，都會仔細打聽鄰居到底是怎麼樣的人，若有好鄰居，才敢買下來。",俗話說：「千金買屋，萬金買鄰。」最近想要買房子，看房子的時候，都會仔細打聽鄰居到底是怎麼樣的人，若有好鄰居，才敢買下來。,千金買厝，萬金買厝邊。,完整,2025-08-27 14:57:55,教育部臺灣台語常用詞辭典
原住民,自細漢就定定聽阮阿公講「有唐山公，無唐山媽」。伊講阮的開基祖是對唐山來的羅漢跤仔，查某祖是平埔族的原住民。,"Tsū sè-hàn tō tiānn-tiānn thiann guán a-kong kóng “ū Tn̂g-suann kong, bô Tn̂g-suann má”. I kóng guán ê khai-ki-tsóo sī uì Tn̂g-suann lâi ê lô-hàn-kha-á, tsa-bóo-tsóo sī pênn-poo-tso̍k ê guân-tsū-bîn.。原來我們的第一代男祖先是來自華南的單身流浪漢，女性祖先是平埔族的原住民。",從小時候就常常聽爺爺說「有來自唐山的男祖先，沒有來自唐山的女祖先」。原來我們的第一代男祖先是來自華南的單身流浪漢，女性祖先是平埔族的原住民。,有唐山公，無唐山媽。,完整,2025-08-27 14:58:35,教育部臺灣台語常用詞辭典
叔公,阮三叔公誠有親，定定辦桌請阮，予阮遮的序細仔足感心的。,"Guán sann-tsik-kong tsiânn ū-tshin, tiānn-tiānn pān-toh tshiánn--guán, hōo guán tsia-ê sī-sè-á tsiok kám-sim--ê.。",我三叔公很看重親屬情誼，常常設宴請我們，讓我們這些晚輩非常感恩。,有親,完整,2025-08-27 14:54:51,教育部臺灣台語常用詞辭典
咱逐家,各位親情朋友、先進序大，我「食人頭鍾酒，講人頭句話」有較僭權，今仔日是主人家七十歲大壽，咱逐家祝伊平安順序食百二。,"Kok-uī tshin-tsiânn pîng-iú, sian-tsìn sī-tuā, guá “tsia̍h lâng thâu tsing tsiú, kóng lâng thâu kù uē” ū khah tsiàm-khuân, kin-á-ji̍t sī tsú-jîn-ka tshit-tsa̍p huè tuā-siū, lán ta̍k-ke tsiok i pîng-an sūn-sī tsia̍h pah-jī.。",各位親朋好友、前輩們，我「喝第一杯酒，講第一句話」較為越權，今天是主人七十歲生日，我們大家祝他平安順遂活到一百二十歲。,食人頭鍾酒，講人頭句話。,完整,2025-08-27 14:54:57,教育部臺灣台語常用詞辭典
囝婿,人講：「囝婿是半子。」阿菊仔共𪜶囝婿疼命命，袂輸親生的仝款。,"Lâng kóng, “Kiánn-sài sī puàn-tsú.” A-kiok--á kā in kiánn-sài thiànn-miā-miā, bē-su tshin-senn--ê kāng-khuán.。」阿菊疼女婿疼得要命，就如同他是親生兒子一樣。",人家說：「女婿是半子。」阿菊疼女婿疼得要命，就如同他是親生兒子一樣。,囝婿是半子。,完整,2025-08-27 14:57:10,教育部臺灣台語常用詞辭典
囡仔,阿福嬸仔的後生攏娶某生囝矣，老翁過身了後，後生新婦隨人無閒事業、顧囡仔，伊煞著家己一个人生活，真正是「十囝十新婦，賰一个老寡婦」。,"A-hok tsím--á ê hāu-senn lóng tshuā-bóo senn-kiánn--ah, lāu-ang kuè-sin liáu-āu, hāu-senn sin-pū suî-lâng bô-îng sū-gia̍p, kòo gín-á, i suah tio̍h ka-kī tsi̍t ê lâng sing-ua̍h, tsin-tsiànn sī “tsa̍p kiánn tsa̍p sin-pū, tshun tsi̍t ê lāu kuá-hū”.。",阿福嬸的兒子都娶老婆生小孩了，老伴去世以後，兒子媳婦各自忙事業、顧小孩，他卻得自己一個人生活，真的是「兒女多不是福」。,十囝十新婦，賰一个老寡婦。,完整,2025-08-27 14:54:22,教育部臺灣台語常用詞辭典
