單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
便所,咱著教囡仔，去便所了後，挩鍊仔著愛挩予好勢。,"Lán tio̍h kà gín-á, khì piān-sóo liáu-āu, thuah-liān-á tio̍h-ài thuah hōo hó-sè.。",咱們得教小孩，上完廁所，拉鍊得要拉好。,挩鍊仔,完整,2025-08-27 16:15:21,教育部臺灣台語常用詞辭典
停車場,以早遮是田，這馬做停車場，聽講以後欲起厝。,"Í-tsá tsia sī tshân, tsit-má tsò thîng-tshia-tiûnn, thiann-kóng í-āu beh khí-tshù.。",以前這裡是田，現在當停車場，聽說以後要蓋房子。,以早,完整,2025-08-27 16:13:53,教育部臺灣台語常用詞辭典
動物園,囡仔佇動物園看著麒麟鹿，就歡喜甲跳起來。,"Gín-á tī tōng-bu̍t-hn̂g khuànn-tio̍h kî-lîn-lo̍k, tō huann-hí kah thiàu--khí-lâi.。",小孩子在動物園看到長頸鹿，就高興得跳起來。,麒麟鹿,完整,2025-08-27 16:13:39,教育部臺灣台語常用詞辭典
博物館,黃金博物館彼塊金仔角重篤篤，到今猶無人搬會振動得。,"N̂g-kim Phok-bu̍t-kuán hit tè kim-á-kak tāng-tauh-tauh, kàu-tann iáu bô lâng puann ē-tín-tāng--tit.。",黃金博物館裡的那塊金塊非常的重，至今還沒有人能搬得動。,重篤篤,完整,2025-08-27 16:14:59,教育部臺灣台語常用詞辭典
古蹟,聽講𪜶兜彼間大厝這馬是古蹟。,Thiann-kóng in tau hit king tuā-tshù tsit-má sī kóo-tsik.。,聽說他家的那間大房子現在是古蹟。,大厝,完整,2025-08-27 16:15:49,教育部臺灣台語常用詞辭典
圖書館,細漢的時我鬥共阿爸借來的冊提去圖書館還，阿爸就會買一塊麭予我，算講是工錢。,"Sè-hàn ê sî guá tàu kā a-pah tsioh--lâi ê tsheh the̍h-khì tôo-su-kuán hîng, a-pah tō ē bé tsi̍t tè pháng hōo--guá, sǹg-kóng sī kang-tsînn.。",小時候我將爸爸借來的書幫忙拿去還給圖書館，爸爸就會買一塊麵包給我，就當作是工錢。,算講,完整,2025-08-27 16:16:22,教育部臺灣台語常用詞辭典
地板,地板推甲會照人影。,Tē-pán thui kah ē tsiò lâng-iánn.。,地板擦亮到可照出人影。,推文thui,完整,2025-08-27 16:16:24,教育部臺灣台語常用詞辭典
塗跤,你行路攏無咧看路，「目睭看懸，無看低」，塗跤一窟水，你嘛共伊踏落去。,"Lí kiânn-lōo lóng bô teh khuànn lōo, “ba̍k-tsiu khuànn-kuân, bô khuànn-kē”, thôo-kha tsi̍t khut tsuí, lí mā kā i ta̍h--lo̍h-khì.。",你走路都不看路，「只看高處，不看地面」，路上一汪水，你也踩下去。,目睭看懸，無看低。,完整,2025-08-27 16:15:16,教育部臺灣台語常用詞辭典
夜市,阿榮頭一改贌園種弓蕉隨搪著風颱，了甲叫毋敢。佳哉尾仔換去夜市做油湯，拄著時機好，才予伊趁甲油洗洗，有影是「人飼人，一支骨；天飼人，肥朒朒」，真正予人袂𠢕得。,"A-îng thâu tsi̍t kái pa̍k-hn̂g tsìng king-tsio suî tn̄g-tio̍h hong-thai, liáu kah kiò-m̄-kánn. Ka-tsài bué--á uānn-khì iā-tshī tsò iû-thng, tú-tio̍h sî-ki hó, tsiah hōo i thàn kah iû-sé-sé, ū-iánn sī “lâng tshī lâng, tsi̍t ki kut; thinn tshī lâng, puî-tsut-tsut”, tsin-tsiànn hōo lâng bē-gâu--tit.。幸虧後來換跑道去夜市擺麵攤，遇到景氣好，才讓讓他賺得油水多多，真正是「只靠人，瘦巴巴；天幫助，笑哈哈」，人真的不能自以為了得。",阿榮第一次租田園種香蕉就碰上颱風，賠的叫苦連天。幸虧後來換跑道去夜市擺麵攤，遇到景氣好，才讓讓他賺得油水多多，真正是「只靠人，瘦巴巴；天幫助，笑哈哈」，人真的不能自以為了得。,人飼人，一支骨；天飼人，肥朒朒。,完整,2025-08-27 16:12:58,教育部臺灣台語常用詞辭典
夜市仔,我去夜市仔開兩百箍買著這條椅仔，哪知坐無兩工就害去，袂輸擤鼻糊的，人講「一分錢，一分貨」，有影俗物就無好貨。,"Guá khì iā-tshī-á khai nn̄g-pah khoo bé-tio̍h tsit liâu í-á, ná tsai tsē bô nn̄g kang tō hāi--khì, bē-su tshìng-phīnn kôo--ê, lâng kóng “tsi̍t hun tsînn, tsi̍t hun huè”, ū-iánn sio̍k-mi̍h tō bô hó huè.。",我去夜市花了兩百塊買到這張椅子，哪知道坐不到兩天就壞了，就好像用鼻涕黏的一樣，人家說「一分錢，一分貨」，果然便宜就沒好貨。,一分錢，一分貨。,完整,2025-08-27 16:14:13,教育部臺灣台語常用詞辭典
大樓,你都毋知咧，這棟遮挑俍的大樓，當初時欲動土進前是偌仔厚事路咧！,"Lí to m̄ tsai--leh, tsit tòng tsiah thiau-lāng ê tuā-lâu, tong-tshe-sî beh tāng-thóo tsìn-tsîng sī guā-á kāu-sū-lōo--leh",你都不知道，這棟聳立的大樓，當初要動土之前可是波折不斷啊！,厚事路,完整,2025-08-27 16:14:15,教育部臺灣台語常用詞辭典
大路,外媽𪜶厝是有六龍的大厝起，三十年前因為大路欲楦闊，護龍予人削兩龍去，外埕開做大車路。總是「涼傘雖破，骨格原在」，入去厝內猶原看會著較早的氣派。,"Guā-má in tshù sī ū la̍k lîng ê tuā-tshù-khí, sann-tsa̍p nî tsîng in-uī tuā-lōo beh hùn-khuah, hōo-lîng hōo lâng siah nn̄g lîng--khì, guā-tiânn khui-tsò tuā tshia-lōo. Tsóng--sī “niû-suànn sui phuà, kut-keh guân-tsāi”, ji̍p-khì tshù-lāi iu-guân khuànn ē tio̍h khah-tsá ê khì-phài.。不過「外觀被毀，氣派猶存」，進去屋裡仍可看到從前的氣派。",外婆家是有三對廂房的大宅第，三十年前因為道路要拓寬，廂房被拆掉兩排，外庭院闢成大馬路。不過「外觀被毀，氣派猶存」，進去屋裡仍可看到從前的氣派。,涼傘雖破，骨格原在。,完整,2025-08-27 16:13:12,教育部臺灣台語常用詞辭典
大門,散會的時，阮有攢三、四百塊王梨酥，佇大門口送予人客。,"Suànn-huē ê sî, guán ū tshuân sann, sì-pah tè ông-lâi-soo, tī tuā-mn̂g-kháu sàng hōo lâng-kheh.。",散會時，我們準備了三、四百塊鳳梨酥，在大門口送給客人。,王梨酥,完整,2025-08-27 16:16:00,教育部臺灣台語常用詞辭典
客廳,下昏暗干焦𪜶兩姊妹仔顧厝，半暝雄雄聽著客廳有跤步聲，兩人驚甲圇痀去。,"E-hng-àm kan-na in nn̄g tsí-muē-á kòo-tshù, puànn-mê hiông-hiông thiann-tio̍h kheh-thiann ū kha-pōo-siann, nn̄g lâng kiann kah lun-ku--khì.。",今晚只有他們兩姊妹看家，半夜突然聽到客廳有腳步聲，兩人嚇得縮成一團。,圇痀,完整,2025-08-27 16:15:55,教育部臺灣台語常用詞辭典
山路,這條山路行到半中站拄好有一塊大石鼓，咱會當坐佇遐小歇睏一下。,"Tsit tiâu suann-lōo kiânn kàu puànn-tiong-tsām tú-hó ū tsi̍t tè tuā tsio̍h-kóo, lán ē-tàng tsē tī hia sió hioh-khùn--tsi̍t-ē.。",這條山路走到中途剛好有一塊大圓石，我們可以坐在那裡稍微休息一下。,石鼓,完整,2025-08-27 16:13:28,教育部臺灣台語常用詞辭典
巷仔,咱巷仔口彼个陳董的閣去自助餐買便當來食矣，枉費伊大某、細姨媠噹噹，厝內煞定定冤家量債，無人欲煮予食。莫怪人講：「一某無人知，兩某相卸代。」,"Lán hāng-á-kháu hit ê Tân-táng--ê koh khì tsū-tsōo-tshan bé piān-tong lâi tsia̍h--ah, óng-huì i tuā-bóo, sè-î suí-tang-tang, tshù-lāi suah tiānn-tiānn uan-ke-niû-tsè, bô lâng beh tsú hōo tsia̍h. Bo̍k-kuài lâng kóng, “Tsi̍t bóo bô lâng tsai, nn̄g bóo sio-sià-tāi.”。難怪人家說：「一夫一妻，夫唱婦隨；家有妻妾，雞犬不寧。」",住巷口的陳董事長又去自助餐買便當來吃了，虧他有老婆、姨太太而且都很漂亮，家裡卻常常爭吵，沒人做飯給他吃。難怪人家說：「一夫一妻，夫唱婦隨；家有妻妾，雞犬不寧。」,一某無人知，兩某相卸代。,完整,2025-08-27 16:14:26,教育部臺灣台語常用詞辭典
