word,reason,index
大頭菜,無用例,2
桑材,無用例,8
豆芽菜,無用例,9
鳳梨,無用例,10
木耳,無用例,11
稻子,無用例,12
小黃瓜,無用例,18
豆菜,無用例,22
豆莢,無用例,23
甜柿、軟柿,無用例,25
芫荽,無用例,27
桑葚,無用例,31
香菜,無用例,33
榴槤,無用例,34
花仔菜,無用例,37
水筆仔,無用例,41
絲瓜,無用例,42
地瓜葉,無用例,43
萵仔菜,無用例,45
蔥的根莖部分,無用例,46
大白菜,無用例,48
匏瓜、葫蘆,無用例,51
茄子,無用例,52
枇杷,無用例,56
柚子,無用例,57
大菜心、大骨芥菜,無用例,58
四季豆,無用例,59
蘆筍,無用例,60
一棵樹,無用例,62
菊花,無用例,63
芒果,無用例,67
刺瓜仔,無用例,68
萵苣,無用例,69
玉米,無用例,70
湯匙仔菜,無用例,73
竹子,無用例,74
椰子,無用例,76
香蕉,無用例,77
大同仔,無用例,80
番薯葉,無用例,86
南瓜,無用例,88
花椰菜,無用例,90
一欉樹仔,無用例,93
桑樹,無用例,94
菠薐仔,無用例,96
釋迦,無用例,97
蕪菁,無用例,99
橘子,無用例,100
紅柿,無用例,102
空心菜,無用例,103
水蜜桃,無用例,105
地瓜,無用例,106
苦瓜,無用例,107
芭樂,無用例,108
青江菜,無用例,109
青椒,無用例,112
敏豆仔,無用例,113
茭白筍,無用例,114
玫瑰花,無用例,115
桃花,無用例,116
金針,無用例,117
梅花,無用例,119
葉子,無用例,120
芋頭,無用例,121
菠菜,無用例,122
胡瓜、黃瓜,無用例,123
