單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
九層塔,用九層塔煎卵真好食。,Iōng káu-tsàn-thah tsian nn̄g tsin hó-tsia̍h.。,用九層塔煎蛋很好吃。,九層塔,完整,2025-08-27 15:19:46,教育部臺灣台語常用詞辭典
冬瓜,想欲食金瓜湯，煞規菜市仔攏無人咧賣金瓜，「無魚，蝦嘛好」，今仔日先買冬瓜轉來去𤉙排骨湯。,"Siūnn-beh tsia̍h kim-kue-thng, suah kui tshài-tshī-á lóng bô lâng teh bē kim-kue, “bô hî, hê mā hó”, kin-á-ji̍t sing bé tang-kue tńg lâi-khì kûn pâi-kut-thng.。",想喝南瓜湯，整個菜市場卻沒有人賣南瓜，「退而求其次」，今天先買冬瓜回家煮排骨湯。,無魚，蝦嘛好。,完整,2025-08-27 15:23:14,教育部臺灣台語常用詞辭典
匏仔,最近足歹運，欲食菜頭湯，去買著蓬心的菜頭；欲去剃頭，剃頭店無開門，有影是「人若衰，種匏仔生菜瓜」。,"Tsuè-kīn tsiok pháinn-ūn, beh tsia̍h tshài-thâu-thng, khì bé-tio̍h pōng-sim ê tshài-thâu; beh khì thì-thâu, thì-thâu-tiàm bô khui-mn̂g, ū-iánn sī “lâng nā sue, tsìng pû-á senn tshài-kue”.。",最近運氣很糟，想喝蘿蔔湯，竟買到空心的蘿蔔；想去理髮，理髮店沒開門，真的是「人一倒楣，種匏瓜也會長出絲瓜」。,人若衰，種匏仔生菜瓜。,完整,2025-08-27 15:19:15,教育部臺灣台語常用詞辭典
弓蕉,阿榮頭一改贌園種弓蕉隨搪著風颱，了甲叫毋敢。佳哉尾仔換去夜市做油湯，拄著時機好，才予伊趁甲油洗洗，有影是「人飼人，一支骨；天飼人，肥朒朒」，真正予人袂𠢕得。,"A-îng thâu tsi̍t kái pa̍k-hn̂g tsìng king-tsio suî tn̄g-tio̍h hong-thai, liáu kah kiò-m̄-kánn. Ka-tsài bué--á uānn-khì iā-tshī tsò iû-thng, tú-tio̍h sî-ki hó, tsiah hōo i thàn kah iû-sé-sé, ū-iánn sī “lâng tshī lâng, tsi̍t ki kut; thinn tshī lâng, puî-tsut-tsut”, tsin-tsiànn hōo lâng bē-gâu--tit.。幸虧後來換跑道去夜市擺麵攤，遇到景氣好，才讓讓他賺得油水多多，真正是「只靠人，瘦巴巴；天幫助，笑哈哈」，人真的不能自以為了得。",阿榮第一次租田園種香蕉就碰上颱風，賠的叫苦連天。幸虧後來換跑道去夜市擺麵攤，遇到景氣好，才讓讓他賺得油水多多，真正是「只靠人，瘦巴巴；天幫助，笑哈哈」，人真的不能自以為了得。,人飼人，一支骨；天飼人，肥朒朒。,完整,2025-08-27 15:22:51,教育部臺灣台語常用詞辭典
柑仔,牛犅𨂿會損蕩柑仔欉、柳丁欉、檸檬欉佮木瓜欉等果子欉。,"Gû-káng-uainnh ē sńg-tn̄g kam-á tsâng, liú-ting tsâng, lê-bóng tsâng kah bo̍k-kue tsâng tíng kué-tsí tsâng.。",天牛會危害橘子、柳丁、檸檬和木瓜樹等果樹。,牛犅𨂿,完整,2025-08-27 15:24:07,教育部臺灣台語常用詞辭典
柚仔,柚仔囥予伊消水，會較甜。,"Iū-á khǹg hōo i siau-tsuí, ē khah tinn.。",柚子放置到水分消散一些，會比較甜。,消水,完整,2025-08-27 15:22:46,教育部臺灣台語常用詞辭典
桑椹,桑椹會使通血路，促進胃腸運動，改善祕結。,"Sng-suî ē-sái thong hueh-lōo, tshiok-tsìn uī-tn̂g ūn-tōng, kái-siān pì-kiat.。",桑椹可以活血，促進胃腸蠕動，改善便秘。,桑椹,完整,2025-08-27 15:22:18,教育部臺灣台語常用詞辭典
椪柑,阮兜的果子園種椪柑佮菝仔。,Guán tau ê kué-tsí-hn̂g tsìng phòng-kam kah pua̍t-á.。,我們家的果園種柑橘與芭樂。,果子園,完整,2025-08-27 15:23:33,教育部臺灣台語常用詞辭典
楊桃,這粒楊桃有六捻。,Tsit lia̍p iûnn-tô ū la̍k liām.。,這顆楊桃有六片。,捻,完整,2025-08-27 15:21:49,教育部臺灣台語常用詞辭典
榕仔,媽祖廟埕的榕仔跤不時有老大人坐佇遐話仙。,Má-tsóo-biō-tiânn ê tshîng-á-kha put-sî ū lāu-tuā-lâng tsē tī hia uē-sian.。,媽祖廟廣場的榕樹下經常有老人家坐在那裡談天說地。,話仙,完整,2025-08-27 15:22:21,教育部臺灣台語常用詞辭典
