單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
國家,生理人若去專制獨裁的國家做生理，佇生疏的環境，不時都予人刁難，了錢猶小局，命嘛定定會無去，正經是「入虎口，無死也烏漚」。,"Sing-lí-lâng nā khì tsuan-tsè to̍k-tshâi ê kok-ka tsò-sing-lí, tī tshenn-soo ê khuân-kíng, put-sî to hōo lâng thiau-lân, liáu-tsînn iáu sió-kio̍k, miā mā tiānn-tiānn ē bô--khì, tsìng-king sī “ji̍p hóo kháu, bô sí iā oo-áu”.。",商人如果去專制獨裁的國家做生意，在人生地不熟的環境，常常被人刁難，虧錢還小事，也常失去性命，實在是「羊入虎口，沒死也半條命」。,入虎口，無死也烏漚。,完整,2025-08-27 14:25:04,教育部臺灣台語常用詞辭典
國際,這改的國際標準舞比賽，伊有著等，毋但有獎牌閣有獎金一百萬。,"Tsit kái ê kok-tsè piau-tsún-bú pí-sài, i ū tio̍h-tíng, m̄-nā ū tsióng-pâi koh ū tsióng-kim tsi̍t-pah bān.。",這次的國際標準舞比賽，他獲獎了，不只有獎牌還有獎金一百萬。,著等,完整,2025-08-27 14:25:16,教育部臺灣台語常用詞辭典
外國,寢去外國讀語言學校，逐日都親像「鴨仔聽雷」咧，攏聽無先生咧講啥，真正食力甲袂曉講。,"Tshím khì guā-kok tha̍k gí-giân ha̍k-hāu, ta̍k-ji̍t to tshin-tshiūnn “ah-á thiann luî”--leh, lóng thiann-bô sian-sinn teh kóng siannh, tsin-tsiànn tsia̍h-la̍t kah bē-hiáu kóng.。",剛去國外讀語言學校，每天都像「鴨子聽到雷聲」，聽不懂老師在說什麼，真是吃力到難以言表。,鴨仔聽雷。,完整,2025-08-27 14:24:56,教育部臺灣台語常用詞辭典
委員,伊這改想欲出來選立法委員，我感覺猶傷幼茈，等後擺啦。,"I tsit kái siūnn-beh tshut-lâi suán li̍p-huat uí-uân, guá kám-kak iáu siunn iù-tsínn, tán āu-pái--lah.。",他這次想要出來選立法委員，我覺得資歷太淺，等下次啦。,幼茈,完整,2025-08-27 14:24:59,教育部臺灣台語常用詞辭典
戰爭,便若拄著戰爭，有錢人攏先閬港。,"Piān-nā tú-tio̍h tsiàn-tsing, ū-tsînn-lâng lóng sing làng-káng.。",只要碰到戰爭，有錢人都先設法逃到外地去。,閬港,完整,2025-08-27 14:25:30,教育部臺灣台語常用詞辭典
機票,伊欲出國是看心情，見若心適興，飛行機票買落就出去。,"I beh tshut-kok sī khuànn sim-tsîng, kiàn-nā sim-sik-hìng, hue-lîng-ki-phiò bé--lo̍h tō tshut--khì.。",他想出國是取決於心情，只要興起，機票買了就飛出去了。,心適興,完整,2025-08-27 14:24:33,教育部臺灣台語常用詞辭典
法院,法院的判決無公平，伊欲閣上訴。,"Huat-īnn ê phuànn-kuat bô kong-pênn, i beh koh siōng-sòo.。",法院的判決不公平，他要再上訴。,判決,完整,2025-08-27 14:25:13,教育部臺灣台語常用詞辭典
派出所,派出所欲遷去佗位？,Phài-tshut-sóo beh tshian-khì tó-uī,派出所要搬到哪裡？,遷,完整,2025-08-27 14:24:50,教育部臺灣台語常用詞辭典
皇帝,雖罔是散食人，只要有志氣肯拍拚，將來嘛一定會有出脫。人講：「臭頭仔嘛會做皇帝，做總統你嘛有機會。」,"Sui-bóng sī sàn-tsia̍h-lâng, tsí-iàu ū tsì-khì khíng phah-piànn, tsiong-lâi mā it-tīng ē ū tshut-thuat. Lâng kóng, “Tshàu-thâu-á mā ē tsò hông-tè, tsò tsóng-thóng lí mā ū ki-huē.”。人家說：「癩痢頭者也能做皇帝，當總統你也有機會。」",雖然是貧窮人家，只要有志氣肯努力，將來也一定會有出息。人家說：「癩痢頭者也能做皇帝，當總統你也有機會。」,臭頭仔嘛會做皇帝，做總統你嘛有機會。,完整,2025-08-27 14:24:36,教育部臺灣台語常用詞辭典
立委,伊出來選立委的時，有真濟好名聲的人共伊徛台。,"I tshut-lâi suán li̍p-uí ê sî, ū tsin tsē hó miâ-siann ê lâng kā i khiā-tâi.。",他出來選立委時，有很多名聲好的人幫他站臺助選。,徛台,完整,2025-08-27 14:24:39,教育部臺灣台語常用詞辭典
立法院,這條法案已經佇立法院通過矣。,Tsit tiâu huat-àn í-king tī Li̍p-huat-īnn thong-kuè--ah.。,這條法案已經在立法院通過了。,通過,完整,2025-08-27 14:25:24,教育部臺灣台語常用詞辭典
總統,雖罔是散食人，只要有志氣肯拍拚，將來嘛一定會有出脫。人講：「臭頭仔嘛會做皇帝，做總統你嘛有機會。」,"Sui-bóng sī sàn-tsia̍h-lâng, tsí-iàu ū tsì-khì khíng phah-piànn, tsiong-lâi mā it-tīng ē ū tshut-thuat. Lâng kóng, “Tshàu-thâu-á mā ē tsò hông-tè, tsò tsóng-thóng lí mā ū ki-huē.”。人家說：「癩痢頭者也能做皇帝，當總統你也有機會。」",雖然是貧窮人家，只要有志氣肯努力，將來也一定會有出息。人家說：「癩痢頭者也能做皇帝，當總統你也有機會。」,臭頭仔嘛會做皇帝，做總統你嘛有機會。,完整,2025-08-27 14:25:21,教育部臺灣台語常用詞辭典
議員,伊是在地選出來的議員，不三時都有選民會來揣伊做服務選區的工課。,"I sī tsāi-tē suán--tshut-lâi ê gī-uân, put-sam-sî to ū suán-bîn ē lâi tshuē i tsò ho̍k-bū suán-khu ê khang-khuè.。",他是本地選出的議員，經常有選民來找他做服務選區的工作。,不三時,完整,2025-08-27 14:25:36,教育部臺灣台語常用詞辭典
議會,議會是民意代表開會的場所。,Gī-huē sī bîn-ì tāi-piáu khui-huē ê tiûnn-sóo.。,議會是民意代表開會的場所。,議會,完整,2025-08-27 14:24:47,教育部臺灣台語常用詞辭典
選舉,選舉的時，真捷看著一寡候選人共無影無跡的代誌講甲若真的，正港是人咧講的「白白布染甲烏」。,"Suán-kí ê sî, tsin tsia̍p khuànn-tio̍h tsi̍t-kuá hāu-suán-jîn kā bô-iánn-bô-tsiah ê tāi-tsì kóng kah ná tsin--ê, tsiànn-káng sī lâng teh kóng--ê “pe̍h-pe̍h-pòo ní kah oo”.。",選舉的時候，很常看到一些候選人把子虛烏有的事情講得像真的，果然如人家所說的「顛倒黑白，指鹿為馬」。,白白布染甲烏。,完整,2025-08-27 14:25:27,教育部臺灣台語常用詞辭典
里長,里長伯仔誠熱心，見擺若欲替里民調解糾紛，伊攏會佇厝裡攢酒菜，叫雙方坐落來沓沓仔講。里長姆仔怨嘆講這真正是「做公親，貼本」，月俸都無夠納遮的開銷咧。,"Lí-tiúnn peh--á tsiânn jia̍t-sim, kiàn-pái nā beh thè lí-bîn tiâu-kái kiù-hun, i lóng ē tī tshù--lí tshuân tsiú-tshài, kiò siang-hong tsē lo̍h-lâi ta̍uh-ta̍uh-á kóng. Lí-tiúnn ḿ--á uàn-thàn kóng tse tsin-tsiànn sī “tsò kong-tshin, thiap pún”, gue̍h-hōng to bô-kàu la̍p tsia-ê khai-siau--leh.。里長太太哀怨的說「這真的是賠了夫人又折兵」，里長的月薪根本不夠支付這些費用呢。",里長伯很熱心，每次為了要替里民調解糾紛，他都會在家裡準備酒菜，叫雙方坐下來好好溝通。里長太太哀怨的說「這真的是賠了夫人又折兵」，里長的月薪根本不夠支付這些費用呢。,做公親，貼本。,完整,2025-08-27 14:24:25,教育部臺灣台語常用詞辭典
