單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
倒摔向,好禮仔坐，無，會倒摔向。,"Hó-lé-á tsē, bô, ē tò-siàng-hiànn.。",小心坐好，不然，會摔個倒栽蔥。,倒摔向,完整,2025-08-27 14:20:27,教育部臺灣台語常用詞辭典
傷著,有的人「一句話三角六尖」，出喙就去傷著人，毋過有的人就加真有外才，講著話在伊挲圓捏扁、抹壁雙面光。,"Ū ê lâng “tsi̍t kù uē sann kak la̍k tsiam”, tshut-tshuì tō khì siong-tio̍h lâng, m̄-koh ū ê lâng tō ke tsin ū guā-tsâi, kóng-tio̍h uē tsāi i so-înn-tēnn-pínn, buah-piah siang-bīn kng.。",有的人「言語銳利」，出言就傷人，不過有的人就很有交際能力，說起話來能字斟句酌、兩面討好。,一句話三角六尖。,完整,2025-08-27 14:20:10,教育部臺灣台語常用詞辭典
傷風,人生的路途起起落落，俗語講：「花無百日紅，人無千日好。」咱人好空的時毋通傷風神，歹空的時嘛莫餒志，按呢才是健康的生活態度。,"Jîn-sing ê lōo-tôo khí-khí-lo̍h-lo̍h, sio̍k-gí kóng, “Hue bô pah ji̍t âng, lâng bô tshian ji̍t hó.” Lán-lâng hó-khang ê sî m̄-thang siunn hong-sîn, pháinn-khang ê sî mā mài lué-tsì, án-ne tsiah-sī kiān-khong ê sing-ua̍h thāi-tōo.。」我們處順境時不要太得意，處逆境時也不要氣餒，這樣才是健康的生活態度。",人生之路總是起起伏伏，俗話說：「花無百日紅，人無千日好。」我們處順境時不要太得意，處逆境時也不要氣餒，這樣才是健康的生活態度。,花無百日紅，人無千日好。,完整,2025-08-27 14:18:32,教育部臺灣台語常用詞辭典
割著,刀仔割著的空喙若較細空，就較快堅血。,"To-á kuah--tio̍h ê khang-tshuì nā khah sè khang, tō khah khuài kian-hueh.。",刀子割到的傷口如果比較小，就比較容易止血。,堅血,完整,2025-08-27 14:21:27,教育部臺灣台語常用詞辭典
受傷,炮仔工場爆炸，員工受傷嚴重。,"Phàu-á kang-tiûnn po̍k-tsà, uân-kang siū-siong giâm-tiōng.。",炮竹工廠爆炸，員工受傷嚴重。,爆炸,完整,2025-08-27 14:20:47,教育部臺灣台語常用詞辭典
寒著,看你寒甲規身軀爍爍顫，毋就緊提一領較厚的衫來穿，才袂去寒著。,"Khuànn lí kuânn kah kui-sin-khu sih-sih-tsùn, m̄-tō kín the̍h tsi̍t niá khah kāu ê sann lâi tshīng, tsiah bē khì kuânn--tio̍h.。",看你全身冷得直發抖，快一點拿件厚一點的衣服來穿，才不會受到風寒。,爍爍顫,完整,2025-08-27 14:20:30,教育部臺灣台語常用詞辭典
實鼻,感冒佮過敏攏會實鼻。,Kám-mōo kah kuè-bín lóng ē tsa̍t-phīnn.。,感冒與過敏都會鼻塞。,實鼻,完整,2025-08-27 14:21:30,教育部臺灣台語常用詞辭典
感冒,流行性感冒病毒的暗作期大約是一工到三工。,Liû-hîng-sìng kám-mōo pēnn-to̍k ê àm-tsoh-kî tāi-iok sī tsi̍t kang kàu sann kang.。,流行性感冒病毒的潛伏期大約是一至三天。,暗作期,完整,2025-08-27 14:19:28,教育部臺灣台語常用詞辭典
扭著,伊這陣手扭著，無才調去工地做粗重的，就允一寡較輕可的穡頭轉來厝裡做，「罔趁較袂散」，嘛較贏規工佇厝裡閒仙仙。,"I tsit-tsūn tshiú láu--tio̍h, bô tsâi-tiāu khì kang-tē tsò tshoo-tāng--ê, tō ín tsi̍t-kuá khah khin-khó ê sit-thâu tńg-lâi tshù--lí tsò, “bóng thàn khah bē sàn”, mā khah iânn kui-kang tī tshù--lí îng-sian-sian.。",他現在手扭到，沒法到工地做粗重的工作，便承接一些比較輕鬆的工作回來家裡做，「多少賺一點」，也勝過於成天在家無所事事。,罔趁較袂散。,完整,2025-08-27 14:21:21,教育部臺灣台語常用詞辭典
拍咳啾,伊鼻空過敏，毋才一直拍咳啾。,"I phīnn-khang kuè-bín, m̄-tsiah it-ti̍t phah-kha-tshiùnn.。",他鼻子過敏，才會一直打噴嚏。,拍咳啾,完整,2025-08-27 14:20:24,教育部臺灣台語常用詞辭典
摔倒,伊昨昏無細膩佇便所摔倒。,I tsa-hng bô-sè-jī tī piān-sóo siak--tó.。,他昨天不小心在廁所摔倒。,摔倒,完整,2025-08-27 14:19:14,教育部臺灣台語常用詞辭典
擤鼻,我去夜市仔開兩百箍買著這條椅仔，哪知坐無兩工就害去，袂輸擤鼻糊的，人講「一分錢，一分貨」，有影俗物就無好貨。,"Guá khì iā-tshī-á khai nn̄g-pah khoo bé-tio̍h tsit liâu í-á, ná tsai tsē bô nn̄g kang tō hāi--khì, bē-su tshìng-phīnn kôo--ê, lâng kóng “tsi̍t hun tsînn, tsi̍t hun huè”, ū-iánn sio̍k-mi̍h tō bô hó huè.。",我去夜市花了兩百塊買到這張椅子，哪知道坐不到兩天就壞了，就好像用鼻涕黏的一樣，人家說「一分錢，一分貨」，果然便宜就沒好貨。,一分錢，一分貨。,完整,2025-08-27 14:20:39,教育部臺灣台語常用詞辭典
注射,伊足驚注射，便若看著護士共射筒攑出來，就會驚甲咇咇掣。,"I tsiok kiann tsù-siā, piān-nā khuànn-tio̍h hōo-sū kā siā-tâng gia̍h--tshut-lâi, tō ē kiann kah phi̍h-phi̍h-tshuah.。",他很怕打針，只要看到護士拿出針筒，就會嚇得直發抖。,射筒,完整,2025-08-27 14:19:45,教育部臺灣台語常用詞辭典
流汗,古早人講：「棚頂做甲流汗，棚跤嫌甲流瀾。」橫直做代誌總是袂中眾人意，欲做就認真做，毋免驚人批評。,"Kóo-tsá-lâng kóng, “Pênn-tíng tsò kah lâu-kuānn, pênn-kha hiâm kah lâu-nuā.” Huâinn-ti̍t tsò tāi-tsì tsóng-sī bē tìng tsìng-lâng ì, beh tsò tō jīn-tsin tsò, m̄-bián kiann lâng phue-phîng.。」反正做事總是不能符合眾人的意思，想做就認真做，不用怕別人批評。",以前的人說：「戲台上的演員演得汗流浹背，戲台下的觀眾批評得口沫橫飛。」反正做事總是不能符合眾人的意思，想做就認真做，不用怕別人批評。,棚頂做甲流汗，棚跤嫌甲流瀾。,完整,2025-08-27 14:20:05,教育部臺灣台語常用詞辭典
流血,伊食酒閣騎oo-tóo-bái，摔一下流血流滴。,"I tsia̍h tsiú koh khiâ oo-tóo-bái, siak tsi̍t-ē lâu-hueh-lâu-tih.。",他喝酒還騎機車，摔得頭破血流。,流血流滴,完整,2025-08-27 14:20:16,教育部臺灣台語常用詞辭典
減肥,有人講躡跤尾行路會減肥呢。,Ū lâng kóng neh-kha-bué kiânn-lōo ē kiám-puî--neh.。,有人說踮著腳尖走路可以減肥。,躡跤尾,完整,2025-08-27 14:18:46,教育部臺灣台語常用詞辭典
滑倒,你較細膩咧，毋通滑倒。,"Lí khah sè-jī--leh, m̄-thang ku̍t--tó.。",你小心一點，不要滑倒。,滑倒,完整,2025-08-27 14:19:56,教育部臺灣台語常用詞辭典
烏青,伊跋倒挵一下跤腿煞烏青。,I pua̍h-tó lòng tsi̍t-ē kha-thuí suah oo-tshenn.。,他跌倒腳撞了一下瘀青了。,烏青,完整,2025-08-27 14:19:11,教育部臺灣台語常用詞辭典
燙著,湯拄𣁳起來爾爾，猶燒滾滾，毋好燙著。,"Thng tú khat--khí-lâi niā-niā, iáu sio-kún-kún, m̄-hó thǹg--tio̍h.。",湯才剛舀起來，還熱騰騰的，不要燙到了。,燒滾滾,完整,2025-08-27 14:19:34,教育部臺灣台語常用詞辭典
牚腿,昨暗走一下傷久，害我今仔日跤牚腿。,"Tsa-àm tsáu tsi̍t-ē siunn kú, hāi guá kin-á-ji̍t kha thènn-thuí.。",昨晚跑了太久，害我今天腳肌肉酸疼。,牚腿,完整,2025-08-27 14:21:33,教育部臺灣台語常用詞辭典
病毒,流感的病毒會綴瀾鬚穢人，毋才講感著的人愛掛喙罨。,"Liû-kám ê pēnn-to̍k ē tuè nuā-tshiu uè--lâng, m̄-tsiah kóng kám--tio̍h ê lâng ài kuà tshuì-am.。",流感的病毒會隨著飛沫傳染給別人，才會建議染病的人要戴口罩。,瀾鬚,完整,2025-08-27 14:18:34,教育部臺灣台語常用詞辭典
發炎,發炎的空喙感覺會燒熱。,Huat-iām ê khang-tshuì kám-kak ē sio-jua̍h.。,發炎的傷口感覺灼熱。,燒熱,完整,2025-08-27 14:19:39,教育部臺灣台語常用詞辭典
發燒,你去提度針來磅看囡仔敢有發燒。,Lí khì the̍h tōo-tsiam lâi pōng khuànn gín-á kám ū huat-sio.。,你去拿溫度計來量量看孩子有沒有發燒。,磅,完整,2025-08-27 14:21:24,教育部臺灣台語常用詞辭典
破病,伊破病倒佇眠床頂廿捅冬矣，寢開始後生猶真盡心看顧，不而過俗語講：「久長病，無孝子。」這幾冬𪜶後生予伊的醫藥費硩甲袂喘氣，就無通遐認真共照顧矣。,"I phuà-pēnn tó tī bîn-tshn̂g-tíng jia̍p-thóng tang--ah, tshím-khai-sí hāu-senn iáu tsin tsīn-sim khuànn-kòo, put-jî-kò sio̍k-gí kóng, “Kú-tn̂g pēnn, bô hàu-tsú.” Tsit kuí tang in hāu-senn hōo i ê i-io̍h-huì teh kah bē tshuán-khuì, tō bô thang hiah jīn-tsin kā tsiàu-kòo--ah.。」這幾年他兒子被他的醫藥費壓得喘不過氣來，就沒辦法那麼認真照顧他了。",他已臥病在床二十多年了，剛開始兒子還很盡心照顧，但俗話說：「久病床前無孝子。」這幾年他兒子被他的醫藥費壓得喘不過氣來，就沒辦法那麼認真照顧他了。,久長病，無孝子。,完整,2025-08-27 14:21:07,教育部臺灣台語常用詞辭典
粒仔,古早糧食缺欠的時，煮糜是幾粒米、一寡番薯簽乾摻一大坩水，「一粒田螺煮九碗公湯」，欲罟一粒飯粒仔就親像海底摸針，真僫啦！,"Kóo-tsá niû-si̍t khueh-khiàm ê sî, tsú muê sī kuí lia̍p bí, tsi̍t-kuá han-tsî-tshiam-kuann tsham tsi̍t tuā khann tsuí, “tsi̍t lia̍p tshân-lê tsú káu uánn-kong thng”, beh koo tsi̍t lia̍p pn̄g-lia̍p-á tō tshin-tshiūnn hái-té bong tsiam, tsin oh--lah!。",從前糧食匱乏的時代，煮稀飯是幾粒米、一些番薯簽乾加一大鍋的水，「一粒田螺煮九海碗湯」，要撈到一粒米粒就像海底撈針，好難啊！,一粒田螺煮九碗公湯。,完整,2025-08-27 14:19:37,教育部臺灣台語常用詞辭典
糾筋,泅水的時陣上驚跤糾筋。,Siû-tsuí ê sî-tsūn siōng kiann kha kiù-kin.。,游泳的時候最怕腳抽筋。,糾筋,完整,2025-08-27 14:20:19,教育部臺灣台語常用詞辭典
著痧,這陣當咧出大日虎，咱上好莫出去，較袂著痧。,"Tsit-tsūn tng-teh tshut tuā-ji̍t-hóo, lán siōng-hó mài tshut--khì, khah bē tio̍h-sua.。",現在正值烈日當空，我們最好不要出門，以免中暑。,大日虎,完整,2025-08-27 14:19:51,教育部臺灣台語常用詞辭典
