單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
影印,毋免抄啦，提去影印較緊。,"M̄-bián tshau--lah, the̍h-khì iánn-ìn khah kín.。",不用抄啦，拿去影印比較快。,影印,完整,2025-08-27 14:14:48,教育部臺灣台語常用詞辭典
手機,你若欲開店賣手機仔，著愛綴會著科技咧發展的速度，毋通「過時賣曆日」，去賣以早彼種無網路功能的，這馬真罕得看著有人咧用矣。,"Lí nā beh khui-tiàm bē tshiú-ki-á, tio̍h-ài tuè ē tio̍h kho-ki teh huat-tián ê sok-tōo, m̄-thang “kuè-sî bē la̍h-ji̍t”, khì bē í-tsá hit tsióng bô bāng-lōo kong-lîng--ê, tsit-má tsin hán-tit khuànn-tio̍h ū lâng teh īng--ah.。",你如果想開店販售手機，就得追上科技發展的速度，不要「賣過期的日曆」，賣以前那種沒有網路功能的手機，現在很少看到有人使用了。,過時賣曆日。,完整,2025-08-27 14:15:04,教育部臺灣台語常用詞辭典
手機仔,你若欲開店賣手機仔，著愛綴會著科技咧發展的速度，毋通「過時賣曆日」，去賣以早彼種無網路功能的，這馬真罕得看著有人咧用矣。,"Lí nā beh khui-tiàm bē tshiú-ki-á, tio̍h-ài tuè ē tio̍h kho-ki teh huat-tián ê sok-tōo, m̄-thang “kuè-sî bē la̍h-ji̍t”, khì bē í-tsá hit tsióng bô bāng-lōo kong-lîng--ê, tsit-má tsin hán-tit khuànn-tio̍h ū lâng teh īng--ah.。",你如果想開店販售手機，就得追上科技發展的速度，不要「賣過期的日曆」，賣以前那種沒有網路功能的手機，現在很少看到有人使用了。,過時賣曆日。,完整,2025-08-27 14:15:07,教育部臺灣台語常用詞辭典
機器,這批機器著先改裝，才會當配合新的規格。,"Tsit phue ki-khì tio̍h sing kái-tsong, tsiah ē-tàng phuè-ha̍p sin ê kui-keh.。",這批機器必須先改裝，才能配合新的規格。,改裝,完整,2025-08-27 14:14:32,教育部臺灣台語常用詞辭典
網路,政治人物佇電視頂冤甲目降鬚聳，雙方佇鏡頭的尻川後早就閣你兄我弟矣，網路頂的支持者煞猶原吵甲袂收山，真正是「做戲的欲煞，看戲的毋煞」。,"Tsìng-tī jîn-bu̍t tī tiān-sī-tíng uan kah ba̍k-kàng-tshiu-tshàng, siang-hong tī kiànn-thâu ê kha-tshng-āu tsá tō koh lí-hiann-guá-tī--ah, bāng-lōo-tíng ê tsi-tshî-tsiá suah iu-guân tshá kah bē-siu-suann, tsin-tsiànn sī “tsò-hì--ê beh suah, khuànn-hì--ê m̄ suah”.。",政治人物在電視上吵得怒目相視，雙方在鏡頭後早就又稱兄道弟了，網路上的支持者卻仍吵得不可開交，真的是「演戲的要結束，看戲的卻不罷休。,做戲的欲煞，看戲的毋煞。,完整,2025-08-27 14:14:28,教育部臺灣台語常用詞辭典
翕相機,欠錢毋還，我欲提你的翕相機來拄數。,"Khiàm tsînn m̄ hîng, guá beh the̍h lí ê hip-siòng-ki lâi tú-siàu.。",欠錢不還，我要拿你的相機來抵帳。,拄數,完整,2025-08-27 14:14:26,教育部臺灣台語常用詞辭典
電池,彼手機仔都已經有打對折矣，伊閣硬拗，叫店員送伊電池佮配件。,"He tshiú-ki-á to í-king ū tánn tuì-tsiat--ah, i koh ngē-áu, kiò tiàm-uân sàng i tiān-tî kah phuè-kiānn.。",那個手機都已經打了對折了，他還強求，叫店員送他電池和配件。,硬拗,完整,2025-08-27 14:15:10,教育部臺灣台語常用詞辭典
電線,兩條電線相拍電，出火金星。,"Nn̄g tiâu tiān-suànn sio-phah-tiān, tshut hué-kim-tshenn.。",兩條電線發生短路，冒出火花。,火金星,完整,2025-08-27 14:14:37,教育部臺灣台語常用詞辭典
電腦,彼間大賣場的電腦連紲予人偷提幾若十台去，警方懷疑是因為「內神通外鬼」，才會損失遮嚴重。,"Hit king tuā-bē-tiûnn ê tiān-náu liân-suà hōo lâng thau-the̍h kuí-nā tsa̍p tâi--khì, kíng-hong huâi-gî sī in-uī “lāi sîn thong guā kuí”, tsiah ē sún-sit tsiah giâm-tiōng.。",那間大賣場的電腦連續被偷走幾十台，警方懷疑是因為「內神通外鬼」，才會損失這麼嚴重。,內神通外鬼。,完整,2025-08-27 14:14:59,教育部臺灣台語常用詞辭典
電視,政治人物佇電視頂冤甲目降鬚聳，雙方佇鏡頭的尻川後早就閣你兄我弟矣，網路頂的支持者煞猶原吵甲袂收山，真正是「做戲的欲煞，看戲的毋煞」。,"Tsìng-tī jîn-bu̍t tī tiān-sī-tíng uan kah ba̍k-kàng-tshiu-tshàng, siang-hong tī kiànn-thâu ê kha-tshng-āu tsá tō koh lí-hiann-guá-tī--ah, bāng-lōo-tíng ê tsi-tshî-tsiá suah iu-guân tshá kah bē-siu-suann, tsin-tsiànn sī “tsò-hì--ê beh suah, khuànn-hì--ê m̄ suah”.。",政治人物在電視上吵得怒目相視，雙方在鏡頭後早就又稱兄道弟了，網路上的支持者卻仍吵得不可開交，真的是「演戲的要結束，看戲的卻不罷休。,做戲的欲煞，看戲的毋煞。,完整,2025-08-27 14:14:34,教育部臺灣台語常用詞辭典
