單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
七月半,時機無好，逐家攏驚會去予人刣頭，毋敢請假，總是嘛有人「七月半鴨仔，毋知死活」，閣敢請假請半個月去國外𨑨迌。,"Sî-ki bô hó, ta̍k-ke lóng kiann ē khì hōo lâng thâi-thâu, m̄ kánn tshíng-ká, tsóng--sī mā ū lâng “tshit-gue̍h-puànn ah-á, m̄ tsai sí-ua̍h”, koh kánn tshíng-ká tshíng puànn kò gue̍h khì kok-guā tshit-thô.。",景氣不好，大家都怕被裁員，不敢請假，不過也有人像是「七月半的鴨子，不知死活」，還敢請假半個月去國外旅遊。,七月半鴨仔，毋知死活。,完整,2025-08-27 13:31:21,教育部臺灣台語常用詞辭典
五月節,照咱的例，囡仔佇五月節的時愛挂香芳。,"Tsiàu lán ê lē, gín-á tī Gōo-gue̍h-tseh ê sî ài kuì hiunn-phang.。",依照我們的習俗，小孩子在端午節時要戴香包。,香芳,完整,2025-08-27 13:31:01,教育部臺灣台語常用詞辭典
元宵,鹽水的蜂仔炮全國有名，佇元宵暝，逐家攏放蜂仔炮敬神，毋過人講「神明興，弟子窮」，𪜶逐口灶逐年攏著開幾萬箍放蜂仔炮。,"Kiâm-tsuí ê phang-á-phàu tsuân-kok ū-miâ, tī Guân-siau-mê, ta̍k-ke lóng pàng-phang-á-phàu kìng-sîn, m̄-koh lâng kóng “sîn-bîng hing, tē-tsú kîng”, in ta̍k kháu-tsàu ta̍k-nî lóng tio̍h khai kuí-bān khoo pàng-phang-á-phàu.。",鹽水鎮的蜂炮全國有名，在元宵節這晚，每家都放蜂炮敬神，不過有句話說「敬神耗財」，他們每家每年都得花幾萬元放蜂炮。,神明興，弟子窮。,完整,2025-08-27 13:30:25,教育部臺灣台語常用詞辭典
元宵節,元宵節的時，南北二路的人攏來看「臺灣燈會」。,"Guân-siau-tseh ê sî, lâm-pak-jī-lōo ê lâng lóng lâi khuànn “Tâi-uân ting-huē”.。",元宵節的時候，全臺各地的人都來看「臺灣燈會」。,南北二路,完整,2025-08-27 13:30:45,教育部臺灣台語常用詞辭典
冬節,照咱人的例，冬節愛挲圓仔。,"Tsiàu lán-lâng ê lē, tang-tseh ài so înn-á.。",照臺灣人的風俗，冬至要搓湯圓。,例,完整,2025-08-27 13:30:56,教育部臺灣台語常用詞辭典
年兜,年兜逐家咧攢欲過年攏真無閒。,Nî-tau ta̍k-ke teh tshuân beh kuè-nî lóng tsin bô-îng.。,年底大家要準備過年都會非常忙。,年兜,完整,2025-08-27 13:31:07,教育部臺灣台語常用詞辭典
普渡,普渡的時，司公道士唸的咒語無幾个人捌，民間定定供體𪜶是「毛呼龜粿粽，紅包在你送」。,"Phóo-tōo ê sî, sai-kong tō-sū liām ê tsiù-gí bô kuí ê lâng bat, bîn-kan tiānn-tiānn king-thé in sī “môo-honn ku kué tsàng, âng-pau tsāi lí sàng”.。",普渡的時候，道士們唸的咒語沒有幾個人知道，民間常常嘲諷他們是「看著祭品隨口亂誦經，心中只有紅包」。,毛呼龜粿粽，紅包在你送。,完整,2025-08-27 13:31:16,教育部臺灣台語常用詞辭典
正月,逐冬正月初二阮細姑仔攏會轉來做客。,Ta̍k tang tsiann-gue̍h tshe-jī guán sè-koo-á lóng ē tńg-lâi tsò-kheh.。,每年正月初二小姑都會回娘家來。,細姑仔,完整,2025-08-27 13:31:19,教育部臺灣台語常用詞辭典
清明,俗語講：「清明無轉厝，無祖；過年無轉厝，無某。」就算你這陣佇外位稅的厝離爸母的厝不止仔遠，過年過節嘛愛轉去。,"Sio̍k-gí kóng, “Tshing-bîng bô tńg tshù, bô tsóo; kuè-nî bô tńg tshù, bô bóo.” Tō-sǹg lí tsit-tsūn tī guā-uī suè ê tshù lī pē-bú ê tshù put-tsí-á hn̄g, kuè-nî-kuè-tseh mā ài tńg--khì.。」就算你現在在外頭租的屋子離父母家很遠，逢年過節都得回去。",俗諺說：「清明節不回家祭祖掃墓，會背負背祖忘本之名；而過年不回家的出外人，可能是無家庭觀念或是沒妻小的人。」就算你現在在外頭租的屋子離父母家很遠，逢年過節都得回去。,清明無轉厝，無祖；過年無轉厝，無某。,完整,2025-08-27 13:30:48,教育部臺灣台語常用詞辭典
過年,俗語講：「清明無轉厝，無祖；過年無轉厝，無某。」就算你這陣佇外位稅的厝離爸母的厝不止仔遠，過年過節嘛愛轉去。,"Sio̍k-gí kóng, “Tshing-bîng bô tńg tshù, bô tsóo; kuè-nî bô tńg tshù, bô bóo.” Tō-sǹg lí tsit-tsūn tī guā-uī suè ê tshù lī pē-bú ê tshù put-tsí-á hn̄g, kuè-nî-kuè-tseh mā ài tńg--khì.。」就算你現在在外頭租的屋子離父母家很遠，逢年過節都得回去。",俗諺說：「清明節不回家祭祖掃墓，會背負背祖忘本之名；而過年不回家的出外人，可能是無家庭觀念或是沒妻小的人。」就算你現在在外頭租的屋子離父母家很遠，逢年過節都得回去。,清明無轉厝，無祖；過年無轉厝，無某。,完整,2025-08-27 13:30:31,教育部臺灣台語常用詞辭典
