單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
作穡人,種蒜頭的作穡人攏揀較媠的提去賣，留一寡脯去的家己食，莫怪人講：「燒瓷的食缺，織蓆的睏椅。」,"Tsìng suàn-thâu ê tsoh-sit-lâng lóng kíng khah suí--ê the̍h-khì bē, lâu tsi̍t-kuá póo--khì--ê ka-kī tsia̍h, bo̍k-kuài lâng kóng, “Sio-huî--ê tsia̍h khih, tsit-tshio̍h--ê khùn í.”。」",蒜農都挑比較漂亮的拿去賣，留一些乾癟的自己吃，難怪人家說「燒瓷的自己用有缺口的碗，織草蓆的在椅子上睡覺。」,燒瓷的食缺，織蓆的睏椅。,完整,2025-08-27 13:58:10,教育部臺灣台語常用詞辭典
司機,塚仔埔欲開路，駛怪手的司機先攢牲醴拜好兄弟仔，紲落去那燒銀紙，喙閣那唸：「無禁無忌，食百二。」,"Thióng-á-poo beh khui-lōo, sái kuài-tshiú ê su-ki sing tshuân sing-lé pài hó-hiann-tī-á, suà--lo̍h-khì ná sio gîn-tsuá, tshuì koh ná liām, “Bô-kìm-bô-khī, tsia̍h pah-jī.”。」",墓地要開路，怪手司機先準備三牲祭拜好兄弟，接著一邊燒銀紙，嘴巴還一邊念著：「百無禁忌，活到一百二十歲。」,無禁無忌，食百二。,完整,2025-08-27 13:58:04,教育部臺灣台語常用詞辭典
員工,頭家共公司的錢提去炒股票，將錢輸了了，煞著喝倒店，下跤的員工攏失業，「喙食，予尻川坐數」，按呢敢有公道？,"Thâu-ke kā kong-si ê tsînn the̍h-khì tshá-kóo-phiò, tsiong tsînn su-liáu-liáu, suah tio̍h huah tó-tiàm, ē-kha ê uân-kang lóng sit-gia̍p, “tshuì tsia̍h, hōo kha-tshng tshē-siàu”, án-ne kám ū kong-tō?。",老闆把公司的錢拿去炒股票，將錢輸光光，竟然不得不宣告倒閉，底下的員工都失業，「一人做錯，卻由其他人受責」，這樣公道嗎？,喙食，予尻川坐數。,完整,2025-08-27 13:58:27,教育部臺灣台語常用詞辭典
塗水師,塗水師無下心神咧捽繩，較加壁堵嘛疊甲走斜去。,"Thôo-tsuí-sai bô hē sim-sîn teh sut-tsîn, khah-ke piah-tóo mā thia̍p kah tsáu-tshua̍h--khì.。",泥水匠拉墨繩取直線沒有用心，這也難怪磚牆砌得歪斜不正。,走斜,完整,2025-08-27 13:59:34,教育部臺灣台語常用詞辭典
媒體,判斷媒體消息的正確度真誠重要，社會定定有人放一个風聲，隨就有人「講一个影，生一个囝」，綴咧烏白傳消息。,"Phuànn-tuàn muî-thé siau-sit ê tsìng-khak-tōo tsin-tsiânn tiōng-iàu, siā-huē tiānn-tiānn ū lâng pàng tsi̍t ê hong-siann, suî tō ū lâng “kóng tsi̍t ê iánn, senn tsi̍t ê kiánn”, tuè leh oo-pe̍h thuân siau-sit.。",判斷媒體消息的正確度十分重要，社會上常常有人放個風聲，馬上就有人「捕風捉影」，亂傳消息。,講一个影，生一个囝。,完整,2025-08-27 14:00:09,教育部臺灣台語常用詞辭典
導演,這个贊助廠商有私心，共導演縛跤縛手，害伊袂當照理想去拍片。,"Tsit ê tsàn-tsōo tshiúnn-siong ū su-sim, kā tō-ián pa̍k-kha-pa̍k-tshiú, hāi i bē-tàng tsiàu lí-sióng khì phah-phìnn.。",這家贊助廠商有私心，處處限制導演，害他無法按照理想去拍片。,縛跤縛手,完整,2025-08-27 14:00:49,教育部臺灣台語常用詞辭典
廚子,𪜶阿三仔是咧做廚子的。,In A-sam--á sī teh tsò tôo-tsí--ê.。,他們阿三是廚師。,廚子,完整,2025-08-27 13:58:47,教育部臺灣台語常用詞辭典
律師,伊真有才調，律師牌一擺就考過！,"I tsin ū tsâi-tiāu, lu̍t-su-pâi tsi̍t pái tō khó--kuè",他很有本事，律師牌照一次就考到了！,才調,完整,2025-08-27 14:00:29,教育部臺灣台語常用詞辭典
志工,李的足好心閣足客氣，講伊做志工干焦是咧「食飽換枵」爾爾。,"Lí--ê tsiok hó-sim koh tsiok kheh-khì, kóng i tsò tsì-kang kan-na sī teh “tsia̍h-pá uānn iau” niā-niā.。",老李很善良又很客氣，說他做志工只是在「消耗熱量」而已。,食飽換枵。,完整,2025-08-27 14:00:40,教育部臺灣台語常用詞辭典
教練,這改比賽去予對方修理甲塗塗塗，佇檢討會裡，教練予人檢討半點鐘，會使講是「滿面專豆花」。,"Tsit kái pí-sài khì hōo tuì-hong siu-lí kah thôo-thôo-thôo, tī kiám-thó-huē--lí, kàu-liān hōo lâng kiám-thó puànn tiám-tsing, ē-sái kóng sī “muá-bīn tsuan tāu-hue”.。",這次比賽被對方修理得慘兮兮，在檢討會中，教練被人檢討了半個小時，可以說是「狼狽不堪」。,滿面專豆花。,完整,2025-08-27 13:59:20,教育部臺灣台語常用詞辭典
