單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
地動,人講：「千算萬算，毋值天一劃。」閣較大間的厝，若拄著七級的大地動，嘛是喝倒就倒，一點仔都袂按算得。,"Lâng kóng, “Tshian sǹg bān sǹg, m̄-ta̍t thinn tsi̍t ue̍h.” Koh-khah tuā king ê tshù, nā tú-tio̍h tshit kip ê tuā tē-tāng, mā sī huah tó tō tó, tsi̍t-tiám-á to bē-àn-sǹg--tit.。」再大的房子，一遇到七級強震，仍然經不起侵襲而倒塌，完全無法防範。",人們說：「人算不如天算。」再大的房子，一遇到七級強震，仍然經不起侵襲而倒塌，完全無法防範。,千算萬算，毋值天一劃。,完整,2025-08-27 13:52:37,教育部臺灣台語常用詞辭典
大海,佇大海浮沉,tī tuā-hái phû-tîm,在大海中隨波逐流,浮沉,完整,2025-08-27 13:51:06,教育部臺灣台語常用詞辭典
大雨,透早有出日，毋過阿義顛倒講會變天，千拄千下晡一點真正摔大雨。,"Thàu-tsá ū tshut-ji̍t, m̄-koh A-gī tian-tò kóng ē piàn-thinn, tshian-tú-tshian ē-poo tsi̍t tiám tsin-tsiànn siàng-tuā-hōo.。",早上出太陽，但是阿義卻說天氣會轉壞，果然到下午一點就下起豪雨來。,千拄千,完整,2025-08-27 13:52:48,教育部臺灣台語常用詞辭典
好天,賣雨幔的煩惱攏好天，無人欲共買；做麵的煩惱一直落雨，麵會曝袂焦，真正是「一人煩惱一樣，無人煩惱親像」。,"Bē hōo-mua--ê huân-ló lóng hó-thinn, bô lâng beh kā bé; tsò mī--ê huân-ló it-ti̍t lo̍h-hōo, mī ē pha̍k bē ta, tsin-tsiànn sī “tsi̍t lâng huân-ló tsi̍t iūnn, bô lâng huân-ló tshin-tshiūnn”.。",賣雨衣的煩惱一直都是好天氣，雨衣賣不出去；製麵條的擔心一直下雨，麵條曬不乾，真是「每個人都有各自煩心的事」。,一人煩惱一樣，無人煩惱親像。,完整,2025-08-27 13:52:15,教育部臺灣台語常用詞辭典
日頭,因為「西北雨，落袂過車路」，有時天頂一爿咧落雨，另外一爿顛倒咧出日頭，有人共伊叫做「日頭雨」。,"In-uī “sai-pak-hōo, lo̍h bē kuè tshia-lōo”, ū-sî thinn-tíng tsi̍t pîng teh lo̍h-hōo, līng-guā tsi̍t pîng tian-tò teh tshut-ji̍t-thâu, ū lâng kā i kiò-tsò “ji̍t-thâu-hōo”.。",因為「西北雨，下不過馬路」，有時候一邊在下雨，另外一邊反而出太陽，有人將它稱作「太陽雨」。,西北雨，落袂過車路。,完整,2025-08-27 13:52:29,教育部臺灣台語常用詞辭典
月娘,你講手指月娘會予月娘割耳仔，彼是欲騙囡仔的，我予你袂食聲得。,"Lí kóng tshiú kí gue̍h-niû ē hōo gue̍h-niû kuah hīnn-á, he sī beh phiàn gín-á--ê, guá hōo lí bē-tsia̍h-siann--tit.。",你說手指月亮會被月亮割耳朵，那是要騙小孩的，你別想騙我。,食聲,完整,2025-08-27 13:51:34,教育部臺灣台語常用詞辭典
海水,風颱天海水倒激的時會做大水。,Hong-thai-thinn hái-tsuí tò-kik ê sî ē tsò-tuā-tsuí.。,颱風天海水倒灌的時候會發生水災。,海水倒激,完整,2025-08-27 13:52:17,教育部臺灣台語常用詞辭典
海湧,透風的時，佇海邊會當看著海湧搧佇礁石頂面的海波。,"Thàu-hong ê sî, tī hái-pinn ē-tàng khuànn-tio̍h hái-íng siàn tī ta-tsio̍h tíng-bīn ê hái-pho.。",颳風的時候，在海邊可以看到海浪打在礁石上面的浪花。,海波,完整,2025-08-27 13:51:39,教育部臺灣台語常用詞辭典
海邊,你定定愛家己一个走去無救生員的海邊泅水，緊縒慢會出代誌。,"Lí tiānn-tiānn ài ka-kī tsi̍t ê tsáu-khì bô kiù-sing-uân ê hái-pinn siû-tsuí, kín-tsua̍h-bān ē tshut-tāi-tsì.。",你老是喜歡自己一個人跑去沒有救生員的海邊游泳，早晚會出事。,緊縒慢,完整,2025-08-27 13:52:26,教育部臺灣台語常用詞辭典
海邊仔,阮規家伙仔不時趁歇睏日去海邊仔抾糞埽，做環保志工。,"Guán kui-ke-hué-á put-sî thàn hioh-khùn-ji̍t khì hái-pinn-á khioh pùn-sò, tsò khuân-pó tsì-kang.。",我們全家人時常趁著假日去海邊撿垃圾，做環保志工。,規家伙仔,完整,2025-08-27 13:52:51,教育部臺灣台語常用詞辭典
烏暗,我做工課做甲烏暗眩，足艱苦的。,"Guá tsò khang-khuè tsò kah oo-àm-hîn, tsiok kan-khóo--ê.。",我工作做到眼前發黑，很不舒服。,烏暗眩,完整,2025-08-27 13:51:09,教育部臺灣台語常用詞辭典
烏陰天,今仔日烏陰天，你上好紮雨傘出門較穩當。,"Kin-á-ji̍t oo-im-thinn, lí siōng-hó tsah hōo-suànn tshut-mn̂g khah ún-tàng.。",今天陰天，你最好帶雨傘出門比較妥當。,穩當,完整,2025-08-27 13:53:05,教育部臺灣台語常用詞辭典
爍爁,雷公爍爁直直來。,Luî-kong sih-nah ti̍t-ti̍t lâi.。,雷電交加。,爍爁,完整,2025-08-27 13:52:54,教育部臺灣台語常用詞辭典
石頭,志勇駛遊覽車到今十外冬矣，攏毋捌發生事故，想袂到昨昏煞予山頂落落來的石頭硩一下誠傷重，莫怪有人講「行船走馬三分命」，真正攏袂按得。,"Tsì-ióng sái iû-lám-tshia kàu-tann tsa̍p-guā tang--ah, lóng m̄ bat huat-sing sū-kòo, siūnn-bē-kàu tsa-hng suah hōo suann-tíng lak--lo̍h-lâi ê tsio̍h-thâu teh tsi̍t-ē tsiânn siong-tiōng, bo̍k-kuài ū lâng kóng “kiânn-tsûn tsáu-bé sann hun miā”, tsin-tsiànn lóng bē-àn--tit.。",志勇開遊覽車開了十多年，都不曾沒發生過事故，想不到昨天竟然被山上砸下來的石頭打到重傷，難怪人家說「航海走馬三分命」真是讓人無法預料。,行船走馬三分命。,完整,2025-08-27 13:51:42,教育部臺灣台語常用詞辭典
