單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
䘥仔,阿公見若熱人，攏穿吊䘥仔四界去行踏，講按呢較涼、較爽快。,"A-kong kiàn-nā jua̍h--lâng, lóng tshīng tiàu-kah-á sì-kè khì kiânn-ta̍h, kóng án-ne khah liâng, khah sóng-khuài.。",爺爺每當夏天，就穿汗衫到處去走動，說這樣比較涼爽。,吊䘥仔,完整,2025-08-27 15:34:36,教育部臺灣台語常用詞辭典
喙罨,阿明長期佇炭空作穡，攏無照規定咧澍水、掛喙罨，年久月深就致著沙肺。,"A-bîng tn̂g-kî tī thuànn-khang tsoh-sit, lóng bô tsiàu kui-tīng teh tshū tsuí, kuà tshuì-am, nî-kú-gue̍h-tshim tō tì-tio̍h sua-hì.。",小明長期在煤礦坑裡工作，都不依照規定噴水霧、戴口罩，久而久之就罹患塵肺症。,沙肺,完整,2025-08-27 15:33:54,教育部臺灣台語常用詞辭典
外套,你寒天出門毋穿外套，較加嘛會感冒。,"Lí kuânn-thinn tshut-mn̂g m̄ tshīng guā-thò, khah-ke mā ē kám-mōo.。",你冬天出門不穿外套，難怪會感冒。,較加,完整,2025-08-27 15:33:40,教育部臺灣台語常用詞辭典
帽仔,日頭遐炎無戴帽仔閣無啉水，莫怪會熱著。,"Ji̍t-thâu hiah iām bô tì bō-á koh bô lim tsuí, bo̍k-kuài ē jua̍h--tio̍h.。",太陽這麼大沒戴帽子又沒喝水，難怪會中暑。,熱著,完整,2025-08-27 15:32:43,教育部臺灣台語常用詞辭典
手䘼,你內衫的手䘼捅出來矣，緊搝入去。,"Lí lāi-sann ê tshiú-ńg thóng--tshut-lâi--ah, kín khiú--ji̍p-khì.。",你內衣袖子露出來了，趕快將它拉進去。,捅,完整,2025-08-27 15:32:57,教育部臺灣台語常用詞辭典
手指,你講手指月娘會予月娘割耳仔，彼是欲騙囡仔的，我予你袂食聲得。,"Lí kóng tshiú kí gue̍h-niû ē hōo gue̍h-niû kuah hīnn-á, he sī beh phiàn gín-á--ê, guá hōo lí bē-tsia̍h-siann--tit.。",你說手指月亮會被月亮割耳朵，那是要騙小孩的，你別想騙我。,食聲,完整,2025-08-27 15:34:39,教育部臺灣台語常用詞辭典
柴屐,這雙柴屐閣袂歹穿。,Tsit siang tshâ-kia̍h koh bē pháinn tshīng.。,這雙木屐還不難穿。,柴屐,完整,2025-08-27 15:34:33,教育部臺灣台語常用詞辭典
橐袋仔,伊橐袋仔飽水，對朋友真慷慨。,"I lak-tē-á pá-tsuí, tuì pîng-iú tsin khóng-khài.。",他荷包滿滿，對朋友很慷慨。,飽水,完整,2025-08-27 15:33:06,教育部臺灣台語常用詞辭典
淺拖仔,你袂使穿淺拖仔去學校。,Lí bē-sái tshīng tshián-thua-á khì ha̍k-hāu.。,你不可以穿拖鞋去學校。,淺拖仔,完整,2025-08-27 15:34:02,教育部臺灣台語常用詞辭典
皮包,伊拄對銀行領錢出來，雄雄一个強徒出手共伊的皮包仔搶去。,"I tú tuì gîn-hâng niá tsînn tshut--lâi, hiông-hiông tsi̍t ê kiông-tôo tshut-tshiú kā i ê phuê-pau-á tshiúnn--khì.。",他剛從銀行領錢出來，突然一個搶匪動手搶走了他的皮包。,強徒,完整,2025-08-27 15:35:04,教育部臺灣台語常用詞辭典
皮包仔,伊拄對銀行領錢出來，雄雄一个強徒出手共伊的皮包仔搶去。,"I tú tuì gîn-hâng niá tsînn tshut--lâi, hiông-hiông tsi̍t ê kiông-tôo tshut-tshiú kā i ê phuê-pau-á tshiúnn--khì.。",他剛從銀行領錢出來，突然一個搶匪動手搶走了他的皮包。,強徒,完整,2025-08-27 15:34:42,教育部臺灣台語常用詞辭典
皮鞋,皮鞋專塗粉，去抿抿咧。,"Phuê-ê tsuan thôo-hún, khì bín-bín--leh.。",皮鞋都是灰塵，去擦一擦。,抿,完整,2025-08-27 15:33:42,教育部臺灣台語常用詞辭典
目鏡,伊老人目看報紙看袂清楚，緊提目鏡予伊。,"I lāu-lâng-ba̍k khuànn pò-tsuá khuànn bē tshing-tshó, kín the̍h ba̍k-kiànn hōo--i.。",他老花眼看報紙看不清楚，趕快拿眼鏡給他。,老人目,完整,2025-08-27 15:33:48,教育部臺灣台語常用詞辭典
糾帶,用車仔車糾帶。,Īng tshia-á tshia kiù-tuà.。,用縫紉機縫鬆緊帶。,車仔,完整,2025-08-27 15:34:16,教育部臺灣台語常用詞辭典
耳鉤,你掛這對耳鉤真媠。,Lí kuà tsit tuì hīnn-kau tsin suí.。,你戴這對耳環很美。,耳鉤,完整,2025-08-27 15:32:49,教育部臺灣台語常用詞辭典
舊衫,講欲提一寡舊衫予我，到今閣無半絲。,"Kóng beh the̍h tsi̍t-kuá kū sann hōo--guá, kàu-tann koh bô-puànn-si.。",說要拿一些舊衣物給我，到現在還是一點兒也沒有。,無半絲,完整,2025-08-27 15:33:56,教育部臺灣台語常用詞辭典
裘仔,趁俗先去買裘仔，聽候較寒的時陣才提出來穿。,"Thàn sio̍k sing khì bé hiû-á, thìng-hāu khah kuânn ê sî-tsūn tsiah the̍h tshut-lâi tshīng.。",趁著便宜先去買棉襖，等到比較冷的時候再拿出來穿。,聽候,完整,2025-08-27 15:33:59,教育部臺灣台語常用詞辭典
