word,reason,index
大後天有期尾考試，我愛好好仔準備喔。,無用例,2
羅馬字,無用例,3
今仔時是我上無閒的一工。,無用例,5
阮蹛佇佗位，你需要知影我的地址？,無用例,7
不用,無用例,9
下晡三點阮有會議，莫遲到。,無用例,10
打招呼，今仔日過了按怎？,無用例,13
那麼,無用例,14
大前天才是我媽媽的生日，愛共好好仔慶祝。,無用例,16
彼陣我細漢的時陣，我就足快樂。,無用例,17
幸運的時陣莫興，貧幸家己知。,無用例,18
我認為講這是一个非常好的主意。,無用例,19
中午,無用例,21
我才開始學煮食，所以才做會曉簡單的菜。,無用例,23
後天,無用例,24
一起,無用例,25
早安,無用例,26
那個,無用例,27
幸虧、還好,無用例,29
今天,無用例,30
不要,無用例,32
紀錄,無用例,34
這些,無用例,36
你會當來阮兜，按呢你就較方便矣。,無用例,37
好像,無用例,38
羅馬字有時仔會拼寫錯誤，需要加練習。,無用例,40
下暗天氣較涼，適宜出去散步。,無用例,41
沒辦法,無用例,42
咱蹛佗位,無用例,43
那格仔內底囥冊，欲記得共蓋起來。,無用例,45
彼个就是我的，莫提去矣。,無用例,46
猶未完成工課，你哪會使早睏？,無用例,48
當作,無用例,50
白天,無用例,51
那種、發語詞,無用例,53
攏總有十个人來參加這擺會議，包括領導佮員工。,無用例,56
慢走、走好,無用例,57
豐年,無用例,59
吃飽了嗎,無用例,60
再度,無用例,61
啥貨人講你是無可能成功的？你愛相信家己。,無用例,63
可以,無用例,65
代誌真濟，愛好好仔安排。,無用例,67
晚上、今晚,無用例,68
剛才,無用例,69
傍晚,無用例,71
我跟你，這个代誌我已經知影矣。,無用例,72
這是一本冊。,無用例,73
遐的樹仔按呢懸，看起來攏拄著天棚。,無用例,76
你們三個,無用例,77
現在,無用例,78
今仔日傷無閒矣，今仔日不得不加班。,無用例,79
後天會迎來寒冷的天氣，愛注意保暖。,無用例,80
不記得,無用例,81
若是我會當，我愛共世界變甲閣較美好。,無用例,82
全部的隊員做伙鬥相共，為這支球隊取得好成績。,無用例,84
跟你講一遍，我後禮拜袂當去。,無用例,85
大昨日,無用例,86
剛才我去看電影。,無用例,87
這麼重要的機會，你一定無得錯過。,無用例,88
大前天,無用例,89
幫忙,無用例,90
遐爾仔精彩的演出，觀眾攏看甲津津有味。,無用例,92
乾脆買點鮮花來做妝娗厝，按呢今仔日就閣較美好矣。,無用例,93
閱讀參考冊對寫作是有幫助的。,無用例,94
好比,無用例,95
這是什麼,無用例,97
幸虧你來，抑若無我今仔日就麻煩大漢矣。,無用例,99
乾脆,無用例,102
恁三个,無用例,103
就算一个人內心艱苦，猶原是愛為家己加油鼓勁。,無用例,104
中晝頓食飽未？今仔日我請你。,無用例,105
暗時仔睏進前我愛讀冊，這是對我有幫助。,無用例,106
咱做伙來記錄這改旅行的過程。,無用例,108
這一個、這種,無用例,110
再會,無用例,111
我們住在哪裡,無用例,112
……才……,無用例,113
記錄,無用例,115
難道說你無愛去，按呢你是按怎想的？,無用例,116
實在是太不記得矣，我哪會使對中考到高考就按呢？,無用例,117
這是什麼，你敢知影？,無用例,118
我今仔日欲寄批予我的朋友。,無用例,120
結伴、一起,無用例,121
明仔載的路程足長的，所以欲勻勻仔行。,無用例,122
再會，我的朋友。,無用例,125
黃昏的時陣太媠矣，我想欲翕相。,無用例,129
你食飽未？今仔日我請你。,無用例,130
傍晚的時陣我散步，感覺足放鬆的。,無用例,133
那時、那陣子,無用例,134
那是我的,無用例,135
按呢做是上簡單的方法。,無用例,137
昨昏暗時我參加一个音樂會，非常的精彩。,無用例,138
昨天,無用例,139
咱做伙做工課，按呢互相會當鬥相共。,無用例,140
再見,無用例,141
跟你說,無用例,142
無法度，伊真試看覓也無法度克服家己的困難。,無用例,145
仍然,無用例,146
早上好，祝你今仔日過了有較歡喜。,無用例,148
證件,無用例,149
什麼、什麼東西,無用例,151
透早起床對身體有益。,無用例,153
那是我的，莫提去矣。,無用例,154
大清早,無用例,155
遮的蘋果我看在眼內，攏是大紅色的。,無用例,156
莫袂記得紮證件喔。,無用例,158
好比講你是尾仔一个人，按呢你欲按怎做？,無用例,159
難道說,無用例,163
早上,無用例,165
打招呼、寒喧,無用例,166
你們三个，做伙鬥陣去𨑨迌。,無用例,168
明天,無用例,170
當時，咱就按呢熟似矣。,無用例,171
下午,無用例,172
我跟你,無用例,173
我欲了解閣較濟關於著這个城市的智識。,無用例,174
親像你按呢做代誌，認真負責，真值得學習。,無用例,175
豐年做田人歡喜，得寶做田人樂。,無用例,176
還沒,無用例,177
明仔載有重要的代誌，我欲好好仔攢。,無用例,178
當做一个作家，欲寫出好文章。,無用例,179
荒年、歉歲,無用例,180
半夜,無用例,182
這樣,無用例,185
按照家己的想法去做，毋通予人壓迫。,無用例,187
這種手機仔價數小貴，我毋知欲買無。,無用例,190
白天的時陣陽光明媚。,無用例,191
大後天,無用例,195
事情,無用例,196
寄信,無用例,197
有時間了後才閣再來看你，保重身體。,無用例,198
那些,無用例,199
會當開車來遮，毋免坐車。,無用例,200
這馬是早起。,無用例,202
晚上,無用例,203
早安，我的朋友。,無用例,204
這麼,無用例,205
半暝仔按怎？按呢阮就早睏較好咧。,無用例,206
