單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
喙䫌,伊講白賊去予阿母搧喙䫌。,I kóng-pe̍h-tsha̍t khì hōo a-bú siàn-tshuì-phué.。,他說謊被媽媽打耳光。,搧喙䫌,完整,2025-08-27 13:46:54,教育部臺灣台語常用詞辭典
喙脣,予人講兩句仔就氣怫怫，面腔閣遐䆀，你就是無捎著「好歹在心內，喙脣皮相款待」的鋩角，按呢欲佮人做生理，會真食虧。,"Hōo lâng kóng--nn̄g-kù-á tō khì-phut-phut, bīn-tshiunn koh hiah bái, lí tō sī bô sa-tio̍h “hó-pháinn tsāi sim-lāi, tshuì-tûn-phuê sio khuán-thāi” ê mê-kak, án-ne beh kah lâng tsò-sing-lí, ē tsin tsia̍h-khui.。",被人家說個兩句就氣呼呼的，臉色又相當難看，你就是沒掌握到「好壞藏心裡，口頭以禮相待」的要領，這樣要跟人家做生意，會很吃虧的。,好歹在心內，喙脣皮相款待。,完整,2025-08-27 13:47:02,教育部臺灣台語常用詞辭典
喙舌,想欲開喙，雄雄喙舌煞拍結。,"Siūnn-beh khui-tshuì, hiông-hiông tshuì-tsi̍h suah phah-kat.。",想開口說話，舌頭卻突然打結。,拍結,完整,2025-08-27 13:46:23,教育部臺灣台語常用詞辭典
喙齒,年歲有矣，喙齒縫愈來愈櫳，食物件定定楔咧，真礙虐。,"Nî-huè ū--ah, tshuì-khí-phāng jú lâi jú lang, tsia̍h mi̍h-kiānn tiānn-tiānn seh--leh, tsin gāi-gio̍h.。",年紀大了，牙縫愈來愈大，吃東西常常卡著，真是不舒服。,喙齒縫,完整,2025-08-27 13:47:48,教育部臺灣台語常用詞辭典
尻川,阿龍上興食腥臊的，磕袂著就魚魚肉肉，閣再毋是薟就是重鹹，攏無咧撙節的，結局「喙食，予尻川坐數。」這馬人咧喝艱苦矣。,"A-liông siōng hìng tsia̍h tshenn-tshau--ê, kha̍p-bē-tio̍h tō hî-hî-bah-bah, koh-tsài m̄ sī hiam tō sī tāng-kiâm, lóng bô teh tsún-tsat--ê, kiat-kio̍k “tshuì tsia̍h, hōo kha-tshng tshē-siàu.” Tsit-má lâng teh huah kan-khóo--ah.。」現在身體受不了。",阿龍最愛吃大餐，動不動就又是魚又是肉，兼且不是辣就是鹹等等的重口味，從不節制，結果「貪圖味覺享受而亂吃，拉肚子時受苦的卻是屁股。」現在身體受不了。,喙食，予尻川坐數。,完整,2025-08-27 13:47:57,教育部臺灣台語常用詞辭典
手指頭,你的手指頭仔有幾个腡？,Lí ê tshiú-tsíng-thâu-á ū kuí ê lê,你的手指頭上有幾個螺旋狀指紋？,腡,完整,2025-08-27 13:47:17,教育部臺灣台語常用詞辭典
指甲,伊的歹癖一大堆，連鞭咬指甲，連鞭搝頭鬃。,"I ê pháinn-phiah tsi̍t-tuā-tui, liâm-mi kā tsíng-kah, liâm-mi khiú thâu-tsang.。",他的壞習慣一大堆，一下咬指甲，一下拉拔頭髮。,歹癖,完整,2025-08-27 13:47:14,教育部臺灣台語常用詞辭典
指頭仔,爸母疼囝，對較有出脫的就放較會落心，啊若趁較無食的就會較照顧，人講：「五肢指頭仔伸出來無平長。」毋過疼囝的心攏是仝款的，絕對無大細心的道理。,"Pē-bú thiànn kiánn, tuì khah ū tshut-thuat--ê tō pàng khah ē lo̍h-sim, ah nā thàn khah bô tsia̍h--ê tō ē khah tsiàu-kòo, lâng kóng, “Gōo ki tsíng-thâu-á tshun--tshut-lâi bô pênn tn̂g.” M̄-koh thiànn kiánn ê sim lóng sī kāng-khuán--ê, tsua̍t-tuì bô tuā-sè-sim ê tō-lí.。」但疼愛小孩的心都一樣，絕無偏袒的道理。",父母疼愛子女，對有出息的就比較會放心，對於無力謀生的就會比較照顧，人家說：「手指頭伸出來也長短不一。」但疼愛小孩的心都一樣，絕無偏袒的道理。,五肢指頭仔伸出來無平長。,完整,2025-08-27 13:48:06,教育部臺灣台語常用詞辭典
皮膚,人較有歲了後，皮膚會變較薄，跤腿的青筋攏看現現。,"Lâng khah ū-huè liáu-āu, phuê-hu ē piàn khah po̍h, kha-thuí ê tshenn-kin lóng khuànn-hiān-hiān.。",人上了年紀後，皮膚會變得較薄，腿上的青筋清楚可見。,青筋,完整,2025-08-27 13:46:25,教育部臺灣台語常用詞辭典
目睭,阿公送到病院的時雖然猶知人，毋過袂講話嘛袂振動，干焦恬恬看病床邊的人，真正是「目睭金金人傷重」。,"A-kong sàng kàu pēnn-īnn ê sî sui-jiân iáu tsai lâng, m̄-koh bē kóng-uē mā bē tín-tāng, kan-na tiām-tiām khuànn pēnn-tshn̂g-pinn ê lâng, tsin-tsiànn sī “ba̍k-tsiu kim-kim lâng siong-tiōng”.。",爺爺送到醫院的時候雖然還有知覺，不過無法講話也無法移動，只靜靜的看著病床邊的人，真的是「眼睛睜大，病情嚴重」。,目睭金金人傷重。,完整,2025-08-27 13:47:34,教育部臺灣台語常用詞辭典
