單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
急救,醫生看伊攏直目去矣，嘛無放棄，繼續共伊急救。,"I-sing khuànn i lóng ti̍t-ba̍k--khì--ah, mā bô hòng-khì, kè-sio̍k kā i kip-kiù.。",醫生看他都兩眼直視，也沒放棄，繼續為他急救。,直目,完整,2025-08-27 12:58:33,教育部臺灣台語常用詞辭典
急診,救護車沿路掠車佮爍紅火，誠緊就共病人送去病院的急診室。,"Kiù-hōo-tshia iân-lōo lia̍h-tshia kah sih âng-hué, tsiânn kín tō kā pēnn-lâng sàng-khì pēnn-īnn ê kip-tsín-sik.。",救護車沿途超車和閃爍紅燈，很快就把病人送到醫院的急診室。,掠車,完整,2025-08-27 12:58:49,教育部臺灣台語常用詞辭典
手術,醫生當咧手術，欲共窒佇患者血管的血角清出來。,"I-sing tng-teh tshiú-su̍t, beh kā that tī huān-tsiá hueh-kńg ê hueh-kak tshing--tshut-lâi.。",醫生正在動手術，要清除病患血管中的血栓。,血角,完整,2025-08-27 12:58:38,教育部臺灣台語常用詞辭典
抗生素,食抗生素治療細菌感染，的確著按時服藥，好原全才會使停藥。,"Tsia̍h khòng-sing-sòo tī-liâu sè-khún kám-jiám, tik-khak tio̍h àn-sî ho̍k-io̍h, hó guân-tsuân tsiah ē-sái thîng io̍h.。",服用抗生素來治療細菌感染，務必得按時吃藥，痊癒後才可以停藥。,服藥,完整,2025-08-27 12:59:35,教育部臺灣台語常用詞辭典
瀉藥,你喔！「無彼號尻川，想欲食彼號瀉藥」，行無三步就怦怦喘的人，也欲參人去𬦰山。,"Lí--ooh! “Bô hit-lō kha-tshng, siūnn-beh tsia̍h hit-lō sià-io̍h”, kiânn bô sann pōo tō phēnn-phēnn-tshuán ê lâng, iā beh tsham lâng khì peh-suann.。",你喔﹗「沒有那種能耐，還妄想做那種事」，走不到三步就氣喘吁吁的人，也想跟人家去爬山。,無彼號尻川，想欲食彼號瀉藥。,完整,2025-08-27 12:58:22,教育部臺灣台語常用詞辭典
病房,伊病甲真傷重，這馬猶蹛佇加護病房。,"I pēnn kah tsin siong-tiōng, tsit-má iáu tuà tī ka-hōo pēnn-pâng.。",他病得很嚴重，現在還住在加護病房。,傷重,完整,2025-08-27 12:59:55,教育部臺灣台語常用詞辭典
病院,阿公送到病院的時雖然猶知人，毋過袂講話嘛袂振動，干焦恬恬看病床邊的人，真正是「目睭金金人傷重」。,"A-kong sàng kàu pēnn-īnn ê sî sui-jiân iáu tsai lâng, m̄-koh bē kóng-uē mā bē tín-tāng, kan-na tiām-tiām khuànn pēnn-tshn̂g-pinn ê lâng, tsin-tsiànn sī “ba̍k-tsiu kim-kim lâng siong-tiōng”.。",爺爺送到醫院的時候雖然還有知覺，不過無法講話也無法移動，只靜靜的看著病床邊的人，真的是「眼睛睜大，病情嚴重」。,目睭金金人傷重。,完整,2025-08-27 12:59:13,教育部臺灣台語常用詞辭典
皮膚科,生癬愛去看皮膚科。,Senn sián ài khì khuànn phuê-hu-kho.。,長癬要去看皮膚科。,生癬,完整,2025-08-27 12:59:05,教育部臺灣台語常用詞辭典
神經,喙齒若有蛀空愛緊予醫生坉起來，若無，到尾仔愛抽神經就真正是「細空毋補，大空叫苦」。,"Tshuì-khí nā ū tsiù-khang ài kín hōo i-sing thūn--khí-lâi, nā-bô, kàu bué--á ài thiu sîn-king tō tsin-tsiànn sī “sè khang m̄ póo, tuā khang kiò-khóo”.。",牙齒要是蛀了就要趕緊找醫生填補，要不然，到最後必須做根管治療就真的是「小洞不補，大洞叫苦」。,細空毋補，大空叫苦。,完整,2025-08-27 12:58:57,教育部臺灣台語常用詞辭典
藥局,路口彼間藥局生理真好。,Lōo-kháu hit king io̍h-kio̍k sing-lí tsin hó.。,路口那間藥房的生意很好。,藥局,完整,2025-08-27 12:59:16,教育部臺灣台語常用詞辭典
診所,阿舅的診所拄開業，阿爸送一塊牌匾共𪜶祝賀。,"A-kū ê tsín-sóo tú khai-gia̍p, a-pah sàng tsi̍t tè pâi-pián kā in tsiok-hō.。",舅舅的診所剛開業，父親送了一塊牌匾慶賀他們。,牌匾,完整,2025-08-27 12:58:44,教育部臺灣台語常用詞辭典
開刀,醫生當咧共患者開刀，欲共窒佇伊頭殼內的血凍提出來。,"I-sing tng-teh kā huān-tsiá khui-to, beh kā that tī i thâu-khak-lāi ê hueh-tàng the̍h--tshut-lâi.。",醫生正在替患者動手術，要清除他腦中的血塊。,血凍,完整,2025-08-27 12:58:19,教育部臺灣台語常用詞辭典
電光,伊跋倒，雖然人無按怎，醫生講猶是照電光確定骨頭無含梢較好。,"I pua̍h-tó, sui-jiân lâng bô án-tsuánn, i-sing kóng iáu-sī tsiò-tiān-kong khak-tīng kut-thâu bô hâm-sau khah hó.。",他跌倒了，雖然覺得沒怎樣，醫生說還是照X光確定骨骼沒裂痕比較好。,照電光,完整,2025-08-27 12:59:24,教育部臺灣台語常用詞辭典
