單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
唱歌,阿義仔歌聲真好，老師鼓勵伊去參加歌唱比賽，伊攏講伊足驚上台唱歌。老師講：「『驚驚袂著等。』你愛勇敢徛起去舞台，才會當予人知影你的歌聲有偌好。」,"A-gī--á kua-siann tsin hó, lāu-su kóo-lē i khì tsham-ka kua-tshiùnn pí-sài, i lóng kóng i tsiok kiann tsiūnn-tâi tshiùnn-kua. Lāu-su kóng, “ ‘Kiann-kiann bē tio̍h-tíng.’ Lí ài ióng-kám khiā khí-khì bú-tâi, tsiah ē-tàng hōo lâng tsai-iánn lí ê kua-siann ū guā hó.”。老師說 ：「『光是恐懼擔憂不會獲得優勝。』你要勇敢站上舞台，才能讓人知道你的歌聲有多好。」",小義歌聲很好，老師鼓勵他去參加歌唱比賽，他都說他很怕上台唱歌。老師說 ：「『光是恐懼擔憂不會獲得優勝。』你要勇敢站上舞台，才能讓人知道你的歌聲有多好。」,驚驚袂著等。,完整,2025-08-27 13:40:25,教育部臺灣台語常用詞辭典
唱片,這塊唱片這馬真食市。,Tsit tè tshiùnn-phìnn tsit-má tsin tsia̍h-tshī.。,這張唱片現在很暢銷。,食市,完整,2025-08-27 13:40:47,教育部臺灣台語常用詞辭典
喝拳,若有愛喝拳啉酒，過通關的場合，興酒的阿貴定著走第一的。,"Nā ū ài huah-kûn lim tsiú, kuè-thong-kuan ê tiûnn-ha̍p, hìng tsiú ê A-kuì tiānn-tio̍h tsáu tē-it--ê.。",如果遇到要划拳喝酒、打通關的場合，好酒的阿貴一定是第一個到。,過通關,完整,2025-08-27 13:40:22,教育部臺灣台語常用詞辭典
展覽,看展覽的時，千萬莫手賤去摸展覽品。,"Khuànn tián-lám ê sî, tshian-bān mài tshiú-tsiān khì bong tián-lám-phín.。",看展覽時，千萬別手癢去摸展覽品。,手賤,完整,2025-08-27 13:41:33,教育部臺灣台語常用詞辭典
布袋戲,阮去公園散步，行到中站，看著人咧弄布袋戲尪仔，有影誠心適。,"Guán khì kong-hn̂g sàn-pōo, kiânn kàu tiong-tsām, khuànn-tio̍h lâng teh lāng pòo-tē-hì ang-á, ū-iánn tsiânn sim-sik.。",我們到公園散步，走到半路，看到有人在操弄布袋戲偶，非常有趣。,中站,完整,2025-08-27 13:41:13,教育部臺灣台語常用詞辭典
彈琴,伊本成真愛彈琴，煞因為𪜶老爸逼伊苦練，就按呢起慼，放棄音樂。,"I pún-tsiânn tsin ài tuânn-khîm, suah in-uī in lāu-pē pik i khóo-liān, tsiū-án-ne khí-tsheh, hòng-khì im-ga̍k.。",他本來很喜歡彈琴，卻因為爸爸逼迫他苦練，因而心生厭惡感，放棄音樂。,起慼,完整,2025-08-27 13:41:16,教育部臺灣台語常用詞辭典
搬戲,歌仔戲演員搬戲進前佮戲搬煞了後，攏愛用真濟時間畫妝佮落妝。,"Kua-á-hì ián-uân puann-hì tsìn-tsîng kah hì puann-suah liáu-āu, lóng ài īng tsin tsē sî-kan uē-tsng kah lo̍h-tsng.。",歌仔戲演員演戲前與下戲後，都要用很多時間化妝與卸妝。,落妝,完整,2025-08-27 13:41:02,教育部臺灣台語常用詞辭典
樂器,伊雖然穿插若庄跤倯咧，毋過泅水、拍球、唱歌、演奏樂器逐項會，真正是「烏矸仔貯豆油」，予人看袂出。,"I sui-jiân tshīng-tshah ná tsng-kha-sông--leh, m̄-koh siû-tsuí, phah-kiû, tshiùnn-kua, ián-tsàu ga̍k-khì ta̍k hāng ē, tsin-tsiànn sī “oo kan-á té tāu-iû”, hōo lâng khuànn bē tshut.。",他雖然衣著打扮像鄉巴佬，不過游泳、打球、唱歌、演奏樂器樣樣會，真是「黑色罐子裝上醬油」，讓人看不出來。,烏矸仔貯豆油。,完整,2025-08-27 13:42:01,教育部臺灣台語常用詞辭典
歌仔戲,歌仔戲演員搬戲進前佮戲搬煞了後，攏愛用真濟時間畫妝佮落妝。,"Kua-á-hì ián-uân puann-hì tsìn-tsîng kah hì puann-suah liáu-āu, lóng ài īng tsin tsē sî-kan uē-tsng kah lo̍h-tsng.。",歌仔戲演員演戲前與下戲後，都要用很多時間化妝與卸妝。,落妝,完整,2025-08-27 13:41:39,教育部臺灣台語常用詞辭典
演唱會,逐个佇遐排列，是為著欲買演唱會的門票。,"Ta̍k ê tī hia pâi-lia̍t, sī uī-tio̍h beh bé ián-tshiùnn-huē ê mn̂g-phiò.。",每個人在那裡排隊，是為了要買演唱會的門票。,排列,完整,2025-08-27 13:41:30,教育部臺灣台語常用詞辭典
