word,reason,index
胡椒粉,無用例,2
稀飯,無用例,4
什錦麵,無用例,6
飯糰,無用例,10
零嘴、零食,無用例,12
麥仔茶,無用例,13
湯圓,無用例,14
花生,無用例,15
蜂蜜水,無用例,16
肉包,無用例,17
稻穀,無用例,19
口香糖,無用例,21
米粉炒,無用例,23
刈包,無用例,25
雞蛋糕,無用例,28
割包,無用例,30
麥芽膏,無用例,32
礦泉水,無用例,34
茶葉,無用例,35
雞翅,無用例,38
蛋清,無用例,40
肉脯,無用例,41
餅乾,無用例,42
樹奶糖,無用例,43
牛肉麵,無用例,44
高粱酒,無用例,46
花枝丸,無用例,48
羊肉爐,無用例,49
菱角,無用例,51
焢肉飯,無用例,54
蜜餞,無用例,55
包子,無用例,56
卵仁,無用例,57
蛇肉,無用例,58
牛舌餅,無用例,59
香腸,無用例,60
油豆腐,無用例,61
粽子,無用例,62
桃子,無用例,63
雞腿,無用例,64
豆沙,無用例,65
米漿,無用例,66
炒米粉,無用例,68
蚵仔煎,無用例,69
棗子、紅棗,無用例,70
皮蛋,無用例,71
鹼粽,無用例,72
米奶,無用例,73
檸檬汁,無用例,74
海帶,無用例,76
便當、飯盒,無用例,78
李子,無用例,80
肉拊,無用例,82
肉酥,無用例,83
筒仔米糕,無用例,84
麥茶,無用例,85
牛排,無用例,87
麥芽糖,無用例,88
餅仔,無用例,90
芋頭冰,無用例,91
蘿蔔糕,無用例,92
芋冰,無用例,94
豬腳,無用例,101
蛤蜊、文蛤,無用例,102
燒餅,無用例,103
清糜,無用例,104
蛋黃,無用例,105
挫冰,無用例,106
菜頭粿,無用例,107
雞翼,無用例,109
栗子,無用例,110
滷味,無用例,111
鹹酥雞,無用例,112
飯丸,無用例,113
蜜茶,無用例,114
包種茶,無用例,115
滷肉飯,無用例,116
肉圓,無用例,117
辣椒醬,無用例,124
麵線糊,無用例,125
肉鬆,無用例,127
饅頭,無用例,128
糖果,無用例,129
沙茶,無用例,132
碗粿,無用例,133
沙拉油,無用例,135
雞排,無用例,136
水餃,無用例,137
烏醋,無用例,138
冷盤,無用例,140
炕肉飯,無用例,141
白飯,無用例,142
苦茶油,無用例,144
豆漿,無用例,146
豆干,無用例,148
豆奶,無用例,150
薟椒仔醬,無用例,151
薑母鴨,無用例,152
豬肚,無用例,153
豆乾糋,無用例,154
醬油,無用例,155
麻糬,無用例,156
飲料,無用例,157
烏龍茶,無用例,158
菜色,無用例,159
