單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
便當,咱巷仔口彼个陳董的閣去自助餐買便當來食矣，枉費伊大某、細姨媠噹噹，厝內煞定定冤家量債，無人欲煮予食。莫怪人講：「一某無人知，兩某相卸代。」,"Lán hāng-á-kháu hit ê Tân-táng--ê koh khì tsū-tsōo-tshan bé piān-tong lâi tsia̍h--ah, óng-huì i tuā-bóo, sè-î suí-tang-tang, tshù-lāi suah tiānn-tiānn uan-ke-niû-tsè, bô lâng beh tsú hōo tsia̍h. Bo̍k-kuài lâng kóng, “Tsi̍t bóo bô lâng tsai, nn̄g bóo sio-sià-tāi.”。難怪人家說：「一夫一妻，夫唱婦隨；家有妻妾，雞犬不寧。」",住巷口的陳董事長又去自助餐買便當來吃了，虧他有老婆、姨太太而且都很漂亮，家裡卻常常爭吵，沒人做飯給他吃。難怪人家說：「一夫一妻，夫唱婦隨；家有妻妾，雞犬不寧。」,一某無人知，兩某相卸代。,完整,2025-08-27 15:46:44,教育部臺灣台語常用詞辭典
冬粉,若講著鵝肉冬粉料理，我就會流喙瀾。,"Nā kóng-tio̍h gô-bah tang-hún liāu-lí, guá tō ē lâu tshuì-nuā.。",若談到鵝肉冬粉料理，我就會流口水。,冬粉,完整,2025-08-27 15:40:43,教育部臺灣台語常用詞辭典
包仔,伊拄對銀行領錢出來，雄雄一个強徒出手共伊的皮包仔搶去。,"I tú tuì gîn-hâng niá tsînn tshut--lâi, hiông-hiông tsi̍t ê kiông-tôo tshut-tshiú kā i ê phuê-pau-á tshiúnn--khì.。",他剛從銀行領錢出來，突然一個搶匪動手搶走了他的皮包。,強徒,完整,2025-08-27 15:44:05,教育部臺灣台語常用詞辭典
卵清,用雞卵清做雞卵糕。,Īng ke-nn̄g-tshing tsò ke-nn̄g-ko.。,用雞蛋的蛋白製做蛋糕。,雞卵清,完整,2025-08-27 15:43:01,教育部臺灣台語常用詞辭典
口味,這間冰店攏用在地清氣的山泉水佮各種口味的果子來做霜仔枝。,Tsit king ping-tiàm lóng iōng tsāi-tē tshing-khì ê suann-tsuânn-tsuí kah kok-tsióng kháu-bī ê kué-tsí lâi tsò sng-á-ki.。,這家冰店都用在地乾淨的山泉水及各種口味的水果製作冰棒。,霜仔枝,完整,2025-08-27 15:44:45,教育部臺灣台語常用詞辭典
味素,煮菜摻味素粉較有氣味。,Tsú tshài tsham bī-sòo-hún khah ū khì-bī.。,煮菜加味精會比較有味道。,味素粉,完整,2025-08-27 15:46:18,教育部臺灣台語常用詞辭典
味素粉,煮菜摻味素粉較有氣味。,Tsú tshài tsham bī-sòo-hún khah ū khì-bī.。,煮菜加味精會比較有味道。,味素粉,完整,2025-08-27 15:47:06,教育部臺灣台語常用詞辭典
咖哩,猶未咖哩嗹囉咧。,Iáu-buē ka-lí-liân-lô--leh.。,八字還沒一撇呢。,咖哩嗹囉,完整,2025-08-27 15:42:47,教育部臺灣台語常用詞辭典
咖啡,苦楝舅春天的新葉是笑青色，開花是黃色，漸漸轉紅，結子的時閣變咖啡色，所以嘛予人叫做四色樹。,"Khóo-līng-kū tshun-thinn ê sin hio̍h sī tshiò-tshenn-sik, khui-hue sī n̂g-sik, tsiām-tsiām tńg-âng, kiat-tsí ê sî koh piàn ka-pi-sik, sóo-í mā hōo lâng kiò-tsò sì-sik-tshiū.。",臺灣欒樹春天的新葉是嫩綠色，開花是黃色，漸漸轉紅，結果時又變成褐色，所以也被人稱為四色樹。,苦楝舅,完整,2025-08-27 15:47:29,教育部臺灣台語常用詞辭典
四秀仔,阿明共阿兄討拄買來的四秀仔，閣共阿姊討比賽贏來的獎品，就去予阿媽共罵講「目睭掛斗概，看人物就愛」。,"A-bîng kā a-hiann thó tú bé--lâi ê sì-siù-á, koh kā a-tsí thó pí-sài iânn--lâi ê tsióng-phín, tō khì hōo a-má kā mē kóng “ba̍k-tsiu kuà táu-kài, khuànn lâng mi̍h tō ài”.。",阿明向哥哥要剛買來的零食，又向姊姊要比賽贏得的獎品，所以就被祖母斥責「眼睛掛著平斗的木概，看到別人的東西就想要」。,目睭掛斗概，看人物就愛。,完整,2025-08-27 15:47:35,教育部臺灣台語常用詞辭典
圓仔,做人著愛知影家己有幾兩重，毋通臭煬閣愛歕雞胿，若無，就會予人笑講是「大紅花毋知䆀，圓仔花䆀毋知」。,"Tsò-lâng tio̍h-ài tsai-iánn ka-kī ū kuí niú tāng, m̄-thang tshàu-iāng koh ài pûn-ke-kui, nā-bô, tō ē hōo lâng tshiò kóng sī “tuā-âng-hue m̄ tsai bái, înn-á-hue bái m̄ tsai”.。",為人得明白自己的實力如何，不要太臭屁又喜歡說大話，否則，就會被人嘲笑「馬不知臉長」。,大紅花毋知䆀，圓仔花䆀毋知。,完整,2025-08-27 15:44:22,教育部臺灣台語常用詞辭典
塗豆,在生食一粒塗豆，較贏死了拜一个豬頭。,"Tsāi-senn tsia̍h tsi̍t lia̍p thôo-tāu, khah iânn sí-liáu pài tsi̍t ê ti-thâu.。意思是說為人子女應及時孝敬父母，而非等父母死後才隆重祭拜。",在世時拿一顆花生孝敬，好過死後用一顆豬頭祭拜。意思是說為人子女應及時孝敬父母，而非等父母死後才隆重祭拜。,在生,完整,2025-08-27 15:42:02,教育部臺灣台語常用詞辭典
排骨湯,想欲食金瓜湯，煞規菜市仔攏無人咧賣金瓜，「無魚，蝦嘛好」，今仔日先買冬瓜轉來去𤉙排骨湯。,"Siūnn-beh tsia̍h kim-kue-thng, suah kui tshài-tshī-á lóng bô lâng teh bē kim-kue, “bô hî, hê mā hó”, kin-á-ji̍t sing bé tang-kue tńg lâi-khì kûn pâi-kut-thng.。",想喝南瓜湯，整個菜市場卻沒有人賣南瓜，「退而求其次」，今天先買冬瓜回家煮排骨湯。,無魚，蝦嘛好。,完整,2025-08-27 15:46:52,教育部臺灣台語常用詞辭典
料理,阿媽佇田裡拍菜股，一股一股的菜蔬攏成做飯桌頂的好料理。,"A-má tī tshân--lí phah tshài-kóo, tsi̍t kóo tsi̍t kóo ê tshài-se lóng tsiânn-tsò pn̄g-toh-tíng ê hó liāu-lí.。",奶奶在田裏面築造菜畦，一畦一畦的青菜都成了飯桌上的好菜色。,菜股,完整,2025-08-27 15:44:11,教育部臺灣台語常用詞辭典
木瓜,牛犅𨂿會損蕩柑仔欉、柳丁欉、檸檬欉佮木瓜欉等果子欉。,"Gû-káng-uainnh ē sńg-tn̄g kam-á tsâng, liú-ting tsâng, lê-bóng tsâng kah bo̍k-kue tsâng tíng kué-tsí tsâng.。",天牛會危害橘子、柳丁、檸檬和木瓜樹等果樹。,牛犅𨂿,完整,2025-08-27 15:41:36,教育部臺灣台語常用詞辭典
李仔,三月三，桃仔李仔伨頭擔。,"Sann-gue̍h-sann, thô-á lí-á thīn-thâu tann.。",農曆三月，以成擔方式挑著盛產的桃子、李子。,伨頭,完整,2025-08-27 15:47:18,教育部臺灣台語常用詞辭典
杏仁,食杏仁茶配油炸粿。,Tsia̍h hīng-jîn-tê phuè iû-tsia̍h-kué.。,喝杏仁茶配油條。,油炸粿,完整,2025-08-27 15:46:41,教育部臺灣台語常用詞辭典
柳丁,牛犅𨂿會損蕩柑仔欉、柳丁欉、檸檬欉佮木瓜欉等果子欉。,"Gû-káng-uainnh ē sńg-tn̄g kam-á tsâng, liú-ting tsâng, lê-bóng tsâng kah bo̍k-kue tsâng tíng kué-tsí tsâng.。",天牛會危害橘子、柳丁、檸檬和木瓜樹等果樹。,牛犅𨂿,完整,2025-08-27 15:41:06,教育部臺灣台語常用詞辭典
桃仔,食桃仔食甲湯㴙㴙滴。,Tsia̍h thô-á tsia̍h kah thng tsha̍p-tsha̍p-tih.。,吃桃子吃得湯汁直滴。,湯白thng,完整,2025-08-27 15:45:08,教育部臺灣台語常用詞辭典
棗仔,屏東的高樹出產棗仔。,Pîn-tong ê Ko-tshiū tshut-sán tsó-á.。,屏東高樹出產棗子。,出產,完整,2025-08-27 15:40:57,教育部臺灣台語常用詞辭典
汽水,熱天時仔麥仔酒、汽水是𥴊仔店的大色貨。,"Jua̍h-thinn-sî-á be̍h-á-tsiú, khì-tsuí sī kám-á-tiàm ê tuā-sik-huè.。",夏天的時候啤酒、汽水是雜貨店的主要商品。,大色貨,完整,2025-08-27 15:47:24,教育部臺灣台語常用詞辭典
油飯,人送油飯予咱，咱愛硩米還人。,"Lâng sàng iû-pn̄g hōo--lán, lán ài teh bí hîng--lâng.。",人家送油飯給我們，我們要用米回禮。,硩替teh,完整,2025-08-27 15:44:56,教育部臺灣台語常用詞辭典
泡麵,規間店的泡麵掃了了。,Kui king tiàm ê phàu-mī sàu-liáu-liáu.。,整家店的泡麵買光光。,掃白sàu,完整,2025-08-27 15:45:13,教育部臺灣台語常用詞辭典
煙腸,煙腸用烘的較好食。,Ian-tshiâng iōng hang--ê khah hó-tsia̍h.。,香腸用烤的比較好吃。,煙腸,完整,2025-08-27 15:46:07,教育部臺灣台語常用詞辭典
